,Address,Price,Beds,Contact
0,840 W Blackhawk St Chicago  60642,"$1,919 - $4,569",Studio - 2 Br,866-958-8596
1,1 W Superior St Chicago  60654,"$1,608 - $4,852",Studio - 2 Br,312-219-9516
2,200 E Illinois St Chicago  60611,"$2,418 - $12,878",Studio - 3 Br,773-273-6395
3,500 N Milwaukee Ave Chicago  60622,"$1,580 - $5,500",Studio - 3 Br,312-964-3768
4,625 W Division St Chicago  60610,"$1,875 - $3,625",Studio - 2 Br,844-525-6919
5,707 N Wells St Chicago  60654,"$2,707 - $5,796",1-3 Br,844-837-3913
6,601 W Jackson Blvd Chicago  60661,"$1,305 - $4,747",Studio - 2 Br,844-443-8919
7,420 E Ohio St Chicago  60611,"$1,615 - $4,600",Studio - 3 Br,888-380-0393
8,11 S Green St Chicago  60607,"$1,539 - $3,390",Studio - 2 Br,844-417-3242
9,343 W Wolf Point Plz Chicago  60654,"$1,908 - $10,900",Studio - 3 Br,844-811-0188
10,225 N Columbus Dr Chicago  60601,"$2,123 - $5,382",Studio - 2 Br,866-933-3491
11,400 E South Water St Chicago  60601,"$1,771 - $4,182",Studio - 2 Br,866-599-7868
12,360 E South Water St Chicago  60601,"$1,893 - $5,356",Studio - 2 Br,312-288-8069
13,345 E Wacker Dr Chicago  60601,"$1,878 - $3,443",Studio - 3 Br,773-904-9571
14,730 W Couch Pl Chicago  60661,"$1,750 - $5,150",Studio - 3 Br,844-294-8524
15,555 W Kinzie St Chicago  60654,"$1,631 - $4,314",Studio - 3 Br,312-288-8972
16,123 N Des Plaines St Chicago  60661,"$1,895 - $5,366",Studio - 3 Br,312-957-4484
17,500 N Lake Shore Dr Chicago  60611,"$2,275 - $4,355",Studio - 2 Br,312-548-6742
18,5140 S Hyde Park Blvd Chicago  60615,"$1,392 - $3,987",1-3 Br,773-432-4830
19,1890 Maple St Chicago  60201,"$1,647 - $5,000",Studio - 3 Br,224-420-9126
20,200 E Chestnut St Chicago  60611,"$1,454 - $9,063",Studio - 2 Br,708-315-6519
21,347 W Chestnut St Chicago  60610,"$1,725 - $6,500",Studio - 3 Br,312-702-1232
22,1209 W Arthur Ave Chicago  60626,"$1,570 - $2,575",Studio - 2 Br,773-649-4071
23,555 W Madison St Chicago  60661,"$1,335 - $5,025",Studio - 2 Br,888-692-0211
24,71 W Hubbard St Chicago  60654,"$1,870 - $6,483",Studio - 3 Br,312-219-9513
25,60638 About Us Chicago ,,,
