,Address,Price,Beds,Contact
0,"930 W Altgeld St, Chicago, IL ","$2,385 - 14,315",Studio - 3 Beds,(847) 440-3110
1,"1457 N Halsted St, Chicago, IL ","$2,484 - 5,208",Studio - 2 Beds,(844) 295-8794
2,"5035 S East End Ave, Chicago, IL ","$1,700 - 6,260",Studio - 4 Beds,(224) 203-2815
3,"5441 NE NEast River Rd, Chicago, IL ","$1,075 - 3,020",Studio - 4 Beds,(866) 794-5357
4,"833 N Clark St, Chicago, IL ","$2,097 - 24,218",Studio - 3 Beds,(844) 489-9630
5,"2155 N Elston Ave, Chicago, IL ","$1,770 - 6,194",Studio - 3 Beds,(872) 873-3137
6,"169 W Huron St, Chicago, IL ","$2,053 - 5,721",Studio - 2 Beds,(847) 979-4467
7,"747 N Wabash Ave, Chicago, IL ","$3,132 - 3,856",Studio - 2 Beds,(872) 401-5441
8,"121 W Chestnut St, Chicago, IL ","$1,904 - 10,256",Studio - 3 Beds,(312) 462-0329
9,"340 E North Water St, Chicago, IL ","$2,328 - 10,464",Studio - 3 Beds,(844) 402-4750
10,"8 E Huron St, Chicago, IL ","$5,195 - 6,895",1-3 Beds,(773) 906-5670
11,"220 E Illinois St, Chicago, IL ","$2,541 - 9,341",Studio - 3 Beds,(844) 596-1422
12,"205 S Peoria, Chicago, IL ","$1,973 - 6,076",Studio - 2 Beds,(312) 598-1505
13,"369 W Grand Ave, Chicago, IL ","$2,095 - 69,521",Studio - 4 Beds,(224) 215-0020
14,"5029 N Kenmore Ave, Chicago, IL ",,,(844) 288-1201
15,288-1201 Email One Chicago 14 ,"$2,284 - 11,620",Studio - 3 Beds,(312) 585-7552
16,"1164-1212 W Madison St, Chicago, IL ","$2,528 - 5,830",Studio - 2 Beds,(844) 737-7559
17,"717 S Clark St, Chicago, IL ","$1,935 - 11,000",Studio - 4 Beds,(844) 264-5425
18,"5801-5811 S Dorchester Ave, Chicago, IL ","$2,225 - 4,750",1-6 Beds,(872) 270-4327
19,"2345 N Lincoln Ave, Chicago, IL ","$2,354 - 5,977",Studio - 3 Beds,(844) 543-1045
20,"651 S Wells St, Chicago, IL ","$1,886 - 9,293",1-3 Beds,(312) 985-0502
21,"1001 S State St, Chicago, IL ","$1,938 - 5,417",Studio - 3 Beds,(844) 843-7332
22,"120 N Green St, Chicago, IL ","$2,310 - 12,803",Studio - 3 Beds,(844) 410-6603
