,Address,Price,Beds,Contact
0,"675 N Wells St, Chicago, IL ",Call for Rent,Studio - 3 Bed,847-979-4467
1,"500 N Milwaukee Ave, Chicago, IL ","$1,785 - 5,525",Studio - 3 Bed,312-964-3768
2,"420 E Ohio St, Chicago, IL ","$1,790 - 4,425",Studio - 3 Bed,888-380-0393
3,"601 W Jackson Blvd, Chicago, IL ","$1,656 - 4,143",Studio - 2 Bed,844-443-8919
4,"200 E Illinois St, Chicago, IL ","$1,835 - 10,280",Studio - 3 Bed,773-273-6395
5,"121 W Chestnut St, Chicago, IL ","$1,544 - 5,342",1-3 Bed,312-462-0329
6,"165 N Desplaines St, Chicago, IL ","$1,875 - 3,900",Studio - 2 Bed,312-964-3725
7,"215 W Lake St, Chicago, IL ","$1,945 - 5,520",Studio - 3 Bed,224-220-3563
8,"5140 S Hyde Park Blvd, Chicago, IL ","$1,435 - 5,954",1-3 Bed,773-432-4830
9,"2851 S Martin Luther King Dr, Chicago, IL ","$825 - 7,935",Studio - 3 Bed,844-827-1869
10,"1350 N Lake Shore Dr, Chicago, IL ","$1,278 - 6,434",Studio - 2 Bed,844-740-9960
11,"4334 N Hazel St, Chicago, IL ","$1,425 - 2,825",Studio - 2 Bed,888-769-6192
12,"730 W Couch Pl, Chicago, IL ","$1,835 - 5,485",Studio - 3 Bed,844-294-8524
13,"167 W Erie St, Chicago, IL ","$1,793 - 5,916",Studio - 3 Bed,844-249-5467
14,"165 W Superior, Chicago, IL ","$1,912 - 14,208",Studio - 3 Bed,844-214-0691
15,"343 W Wolf Point Plz, Chicago, IL ","$1,670 - 13,182",Studio - 3 Bed,844-811-0188
16,"225 N Columbus Dr, Chicago, IL ","$1,744 - 6,026",Studio - 2 Bed,866-933-3491
17,"445 E Ohio St, Chicago, IL ","$1,501 - 2,597",Studio - 2 Bed,877-395-7096
18,"345 E Wacker Dr, Chicago, IL ","$1,558 - 3,624",Studio - 3 Bed,773-904-9571
19,"555 W Kinzie St, Chicago, IL ","$1,481 - 6,166",Studio - 3 Bed,312-288-8972
20,"545 N McClurg Ct, Chicago, IL ","$1,815 - 7,965",Studio - 3 Bed,844-382-0901
21,"2933 N Sheridan Rd, Chicago, IL ","$1,800 - 2,565",1-3 Bed,888-463-3217
22,"833 W Buena Ave, Chicago, IL ","$1,285 - 1,905",1-3 Bed,844-812-0763
