,Address,Price,Beds,Contact
0,840 W Blackhawk St Chicago  60642,"$2,081 - $3,935",Studio - 2 Br,866-958-8596
1,220 W Illinois St Chicago  60654,"$2,075 - $4,145",Studio - 2 Br,773-492-6656
2,200 E Illinois St Chicago  60611,"$2,049 - $12,878",Studio - 4 Br,773-273-6395
3,625 W Division St Chicago  60610,"$1,775 - $3,700",Studio - 2 Br,844-525-6919
4,707 N Wells St Chicago  60654,"$2,740 - $5,521",1-3 Br,844-837-3913
5,1 W Superior St Chicago  60654,"$1,625 - $4,946",Studio - 2 Br,312-219-9516
6,601 W Jackson Blvd Chicago  60661,"$1,503 - $4,594",Studio - 2 Br,844-443-8919
7,11 S Green St Chicago  60607,"$1,584 - $3,425",Studio - 2 Br,844-417-3242
8,3402-3453 N Elaine Pl Chicago  60657,"$1,472 - $3,488",1-3 Br,844-889-9247
9,360 E South Water St Chicago  60601,"$1,660 - $4,982",Studio - 2 Br,312-288-8069
10,343 W Wolf Point Plz Chicago  60654,"$1,761 - $10,617",Studio - 3 Br,844-811-0188
11,400 E South Water St Chicago  60601,"$1,736 - $2,523",Studio - 2 Br,866-599-7868
12,225 N Columbus Dr Chicago  60601,"$1,611 - $5,462",Studio - 2 Br,866-933-3491
13,345 E Wacker Dr Chicago  60601,"$1,752 - $3,677",Studio - 3 Br,773-904-9571
14,123 N Des Plaines St Chicago  60661,"$1,940 - $4,200",Studio - 3 Br,312-957-4484
15,500 N Lake Shore Dr Chicago  60611,"$1,900 - $4,190",Studio - 2 Br,312-548-6742
16,5140 S Hyde Park Blvd Chicago  60615,"$1,498 - $5,294",1-3 Br,773-432-4830
17,200 E Chestnut St Chicago  60611,"$1,277 - $7,591",Studio - 2 Br,708-315-6519
18,555 W Madison St Chicago  60661,"$1,335 - $8,030",Studio - 2 Br,888-692-0211
19,71 W Hubbard St Chicago  60654,"$1,795 - $6,382",Studio - 3 Br,312-219-9513
20,850 S Clark St Chicago  60605,"$1,780 - $3,600",Studio - 2 Br,312-462-1938
21,8 W Chestnut St Chicago  60610,"$1,419 - $2,679",1-2 Br,312-646-4941
22,1350 N Lake Shore Dr Chicago  60610,"$1,236 - $2,994",Studio - 2 Br,312-462-0403
