,Address,Price,Beds,Contact
0,"765 W Adams St, Chicago, IL ","$1,810 - 7,825",Studio - 3 Bed,773-675-1174
1,"2300 S Michigan Ave, Chicago, IL ","$1,590 - 2,830",1-2 Bed,312-646-4878
2,"169 W Huron St, Chicago, IL ","$1,710 - 5,577",Studio - 2 Bed,847-979-4467
3,"165 N Desplaines St, Chicago, IL ","$1,875 - 3,900",Studio - 2 Bed,312-964-3725
4,"215 W Lake St, Chicago, IL ","$1,945 - 5,520",Studio - 3 Bed,224-220-3563
5,"420 E Ohio St, Chicago, IL ","$1,740 - 4,430",Studio - 3 Bed,888-380-0393
6,"500 N Milwaukee Ave, Chicago, IL ","$1,705 - 5,460",Studio - 3 Bed,312-964-3768
7,"601 W Jackson Blvd, Chicago, IL ","$1,732 - 4,298",Studio - 2 Bed,844-443-8919
8,"200 E Illinois St, Chicago, IL ","$2,005 - 10,325",Studio - 3 Bed,773-273-6395
9,"555 W Madison St, Chicago, IL ","$1,360 - 3,224",Studio - 2 Bed,888-692-0211
10,"1350 N Wells St, Chicago, IL ","$1,590 - 3,595",Studio - 2 Bed,866-854-1757
11,"4334 N Hazel St, Chicago, IL ","$1,470 - 2,875",Studio - 2 Bed,888-769-6192
12,"2851 S Martin Luther King Dr, Chicago, IL ","$749 - 10,203",Studio - 3 Bed,844-827-1869
13,"1350 N Lake Shore Dr, Chicago, IL ","$1,531 - 3,290",Studio - 2 Bed,844-740-9960
14,"730 W Couch Pl, Chicago, IL ","$1,835 - 5,635",Studio - 3 Bed,844-294-8524
15,"167 W Erie St, Chicago, IL ","$1,830 - 5,916",Studio - 3 Bed,844-249-5467
16,"1333 S Wabash Ave, Chicago, IL ","$1,885 - 7,534",1-3 Bed,312-767-5990
17,"165 W Superior, Chicago, IL ","$1,915 - 7,095",Studio - 3 Bed,844-214-0691
18,"343 W Wolf Point Plz, Chicago, IL ","$2,023 - 11,849",Studio - 3 Bed,844-811-0188
19,"1136-1140 S Wabash Ave, Chicago, IL ","$1,445 - 3,460",Studio - 2 Bed,312-637-6585
20,"225 N Columbus Dr, Chicago, IL ","$2,196 - 5,452",Studio - 2 Bed,866-933-3491
21,"445 E Ohio St, Chicago, IL ","$1,498 - 2,597",Studio - 2 Bed,877-395-7096
22,"555 W Kinzie St, Chicago, IL ","$1,558 - 5,754",Studio - 3 Bed,312-288-8972
23,"345 E Wacker Dr, Chicago, IL ","$1,539 - 4,281",Studio - 3 Bed,773-904-9571
