,Address,Price,Beds,Contact
0,161 W Kinzie St Chicago  6,"$1,630 - $6,337",Studio - 2 Br,844-892-1659
1,71 W Hubbard St Chicago  6,"$1,789 - $6,495",Studio - 3 Br,312-219-9513
2,805 N LaSalle Dr Chicago  6,"$1,600 - $5,100",Studio - 2 Br,872-206-3038
3,200 E Illinois St Chicago  6,"$1,942 - $12,878",Studio - 4 Br,773-273-6395
4,1 W Superior St Chicago  6,"$1,571 - $4,480",Studio - 2 Br,312-219-9516
5,37 W Van Buren St Chicago  6,"$1,899 - $1,999",Studio - 4 Br,844-250-5735
6,200 E Chestnut St Chicago  6,"$1,302 - $7,054",Studio - 2 Br,708-315-6519
7,171 N Halsted St Chicago  6,"$1,750 - $5,250",Studio - 3 Br,844-294-8524
8,1130 S Michigan Ave Chicago  6,"$1,405 - $3,700",Studio - 2 Br,866-610-8317
9,850 S Clark St Chicago  6,"$1,765 - $3,519",Studio - 2 Br,312-462-1938
10,555 W Madison St Chicago  6,"$1,320 - $4,040",Studio - 2 Br,888-692-0211
11,225 N Columbus Dr Chicago  6,"$1,587 - $5,364",Studio - 2 Br,866-933-3491
12,340 E North Water St Chicago  6,"$1,969 - $10,500",Studio - 3 Br,844-402-4750
13,500 N Lake Shore Dr Chicago  6,"$2,040 - $3,765",Studio - 2 Br,312-548-6742
14,400 N McClurg Ct Chicago  6,"$2,070 - $2,913",Studio - 2 Br,844-482-6861
15,400 E South Water St Chicago  6,"$1,450 - $3,097",Studio - 2 Br,866-599-7868
16,1350 N Lake Shore Dr Chicago  6,"$1,272 - $2,994",Studio - 2 Br,312-462-0403
17,360 E South Water St Chicago  6,"$1,572 - $3,849",Studio - 2 Br,312-288-8069
18,11 S Green St Chicago  6,"$1,675 - $3,335",Studio - 2 Br,844-417-3242
19,840 W Blackhawk St Chicago  6,"$1,778 - $3,913",Studio - 2 Br,866-958-8596
20,345 E Wacker Dr Chicago  6,"$1,636 - $4,485",Studio - 3 Br,773-904-9571
21,5140 S Hyde Park Blvd Chicago  6,"$1,458 - $6,318",1-3 Br,773-432-4830
22,765 W Adams St Chicago  6,Call for Rent,Studio - 3 Br,773-675-1174
23,60638 About Us Chicago Ap,,,
