,Address,Price,Beds,Contact
0,601 W Jackson Blvd Chicago 60661,"$1,524 - $4,514",Studio - 2 Br,844-443-8919
1,W Wolf Point Plz Chicago 60654,"$1,821 - $10,900",Studio - 3 Br,844-811-0188
2,E South Water St Chicago 60601,"$1,668 - $4,130",Studio - 2 Br,866-599-7868
3,E South Water St Chicago 60601,"$1,789 - $4,226",Studio - 2 Br,312-288-8069
4,225 N Columbus Dr Chicago 60601,"$1,654 - $5,352",Studio - 2 Br,866-933-3491
5,345 E Wacker Dr Chicago 60601,"$1,806 - $3,693",Studio - 3 Br,773-904-9571
6,555 W Kinzie St Chicago 60654,"$1,537 - $4,462",Studio - 3 Br,312-288-8972
7,N Des Plaines St Chicago 60661,"$2,007 - $4,555",Studio - 3 Br,312-957-4484
8,840 W Blackhawk St Chicago 60642,"$1,849 - $4,123",Studio - 2 Br,866-958-8596
9,S Hyde Park Blvd Chicago 60615,"$1,462 - $4,024",1-3 Br,773-432-4830
10,N Lake Shore Dr Chicago 60611,"$1,890 - $2,730",Studio - 1 Br,312-548-6742
11,1 W Superior St Chicago 60654,"$1,732 - $3,602",Studio - 2 Br,312-219-9516
12,200 E Illinois St Chicago 60611,"$2,298 - $12,878",Studio - 4 Br,773-273-6395
13,625 W Division St Chicago 60610,"$1,775 - $3,700",Studio - 2 Br,844-525-6919
14,707 N Wells St Chicago 60654,"$2,760 - $5,621",1-3 Br,844-837-3913
15,200 E Chestnut St Chicago 60611,"$1,359 - $9,151",Studio - 2 Br,708-315-6519
16,71 W Hubbard St Chicago 60654,"$1,795 - $6,483",Studio - 3 Br,312-219-9513
17,850 S Clark St Chicago 60605,"$1,788 - $3,563",Studio - 2 Br,312-462-1938
18,555 W Madison St Chicago 60661,"$1,370 - $4,065",Studio - 2 Br,888-692-0211
19,8 W Chestnut St Chicago 60610,"$1,575 - $2,709",1-2 Br,312-646-4941
20,N Lake Shore Dr Chicago 60610,"$1,409 - $2,998",Studio - 2 Br,312-462-0403
21,1130 S Michigan Ave Chicago 60605,"$1,380 - $3,681",Studio - 2 Br,866-610-8317
22,25 W Randolph St Chicago 60602,"$1,823 - $7,987",Studio - 3 Br,844-808-9214
23,1164-1212 W Madison St Chicago 60607,"$1,875 - $3,250",Studio - 2 Br,844-737-7559
24,910 W Huron St Chicago 60642,"$1,920 - $3,880",Studio - 4 Br,844-741-2982
