,Address,Price,Beds,Contact
0,601 W Jackson Blvd Chicago 60661,"$1,305 - $4,567",Studio - 2 Br,844-443-8919
1,420 E Ohio St Chicago 60611,"$1,615 - $4,600",Studio - 3 Br,888-380-0393
2,1333 S Wabash Ave Chicago 60605,"$1,815 - $3,800",1-2 Br,844-845-5098
3,W Wolf Point Plz Chicago 60654,"$1,908 - $10,900",Studio - 3 Br,844-811-0188
4,E South Water St Chicago 60601,"$1,555 - $4,124",Studio - 2 Br,866-599-7868
5,E South Water St Chicago 60601,"$1,834 - $5,280",Studio - 2 Br,312-288-8069
6,730 W Couch Pl Chicago 60661,"$1,750 - $5,150",Studio - 3 Br,844-294-8524
7,225 N Columbus Dr Chicago 60601,"$2,064 - $5,367",Studio - 2 Br,866-933-3491
8,345 E Wacker Dr Chicago 60601,"$1,683 - $4,901",Studio - 3 Br,773-904-9571
9,555 W Kinzie St Chicago 60654,"$1,645 - $5,735",Studio - 3 Br,312-288-8972
10,N Des Plaines St Chicago 60661,"$1,931 - $5,366",Studio - 3 Br,312-957-4484
11,N Lake Shore Dr Chicago 60611,"$1,865 - $4,160",Studio - 2 Br,312-548-6742
12,S Hyde Park Blvd Chicago 60615,"$1,542 - $6,386",1-3 Br,773-432-4830
13,840 W Blackhawk St Chicago 60642,"$1,919 - $4,569",Studio - 2 Br,866-958-8596
14,1 W Superior St Chicago 60654,"$1,566 - $5,102",Studio - 2 Br,312-219-9516
15,200 E Illinois St Chicago 60611,"$2,010 - $12,878",Studio - 3 Br,773-273-6395
16,500 N Milwaukee Ave Chicago 60622,"$1,580 - $5,500",Studio - 3 Br,312-964-3768
17,625 W Division St Chicago 60610,"$1,925 - $3,625",Studio - 2 Br,844-525-6919
18,707 N Wells St Chicago 60654,"$2,707 - $5,796",1-3 Br,844-837-3913
19,1890 Maple St Chicago 60201,"$1,639 - $5,000",Studio - 3 Br,224-420-9126
20,200 E Chestnut St Chicago 60611,"$1,411 - $11,443",Studio - 2 Br,708-315-6519
21,555 W Madison St Chicago 60661,"$1,395 - $4,835",Studio - 2 Br,888-692-0211
22,71 W Hubbard St Chicago 60654,"$1,870 - $6,535",Studio - 3 Br,312-219-9513
23,8 W Chestnut St Chicago 60610,"$1,339 - $2,779",1-2 Br,312-646-4941
24,850 S Clark St Chicago 60605,"$1,723 - $3,394",Studio - 2 Br,312-462-1938
