,Address,Price,Beds,Contact
0,W Wolf Point Plz Chicago 60654,"$1,918 - $10,900",Studio - 3 Br,844-811-0188
1,E South Water St Chicago 60601,"$1,779 - $4,103",Studio - 2 Br,866-599-7868
2,E South Water St Chicago 60601,"$2,061 - $5,185",Studio - 2 Br,312-288-8069
3,225 N Columbus Dr Chicago 60601,"$2,087 - $5,525",Studio - 2 Br,866-933-3491
4,345 E Wacker Dr Chicago 60601,"$1,955 - $4,901",Studio - 3 Br,773-904-9571
5,555 W Kinzie St Chicago 60654,"$1,561 - $5,735",Studio - 3 Br,312-288-8972
6,1 W Superior St Chicago 60654,"$1,737 - $5,254",Studio - 2 Br,312-219-9516
7,840 W Blackhawk St Chicago 60642,"$1,919 - $4,569",Studio - 2 Br,866-958-8596
8,200 E Illinois St Chicago 60611,"$1,883 - $12,878",Studio - 3 Br,773-273-6395
9,625 W Division St Chicago 60610,"$1,925 - $3,625",Studio - 2 Br,844-525-6919
10,500 N Milwaukee Ave Chicago 60622,"$1,680 - $5,500",Studio - 3 Br,312-964-3768
11,707 N Wells St Chicago 60654,"$2,707 - $5,796",1-3 Br,844-312-7045
12,730 W Couch Pl Chicago 60661,"$1,750 - $5,550",Studio - 3 Br,844-294-8524
13,N Des Plaines St Chicago 60661,"$2,032 - $5,091",Studio - 3 Br,312-957-4484
14,601 W Jackson Blvd Chicago 60661,"$1,305 - $4,541",Studio - 2 Br,844-443-8919
15,420 E Ohio St Chicago 60611,"$1,615 - $4,600",Studio - 3 Br,888-380-0393
16,1890 Maple St Chicago 60201,"$1,690 - $10,000",Studio - 3 Br,224-420-9126
17,200 E Chestnut St Chicago 60611,"$1,445 - $11,443",Studio - 2 Br,708-315-6519
18,1209 W Arthur Ave Chicago 60626,"$1,575 - $2,575",Studio - 2 Br,773-649-4071
19,71 W Hubbard St Chicago 60654,"$1,918 - $6,535",Studio - 3 Br,312-219-9513
20,850 S Clark St Chicago 60605,"$1,757 - $3,419",Studio - 2 Br,312-462-1938
21,555 W Madison St Chicago 60661,"$1,389 - $4,777",Studio - 2 Br,888-692-0211
22,545 N McClurg Ct Chicago 60611,"$1,995 - $8,805",Studio - 3 Br,844-382-0901
23,8 W Chestnut St Chicago 60610,"$1,339 - $2,789",1-2 Br,312-646-4941
24,347 W Chestnut St Chicago 60610,"$1,725 - $6,500",Studio - 3 Br,312-702-1232
