,Address,Price,Beds,Contact
0,840 W Blackhawk St Chicago 60642,"$1,919 - $4,569",Studio - 2 Br,866-958-8596
1,200 E Illinois St Chicago 60611,"$1,938 - $12,878",Studio - 3 Br,773-273-6395
2,500 N Milwaukee Ave Chicago 60622,"$1,580 - $5,500",Studio - 3 Br,312-964-3768
3,1 W Superior St Chicago 60654,"$1,683 - $5,148",Studio - 2 Br,312-219-9516
4,625 W Division St Chicago 60610,"$1,925 - $3,625",Studio - 2 Br,844-525-6919
5,707 N Wells St Chicago 60654,"$2,707 - $5,796",1-3 Br,844-312-7045
6,555 W Kinzie St Chicago 60654,"$1,629 - $5,735",Studio - 3 Br,312-288-8972
7,W Wolf Point Plz Chicago 60654,"$1,908 - $10,900",Studio - 3 Br,844-811-0188
8,345 E Wacker Dr Chicago 60601,"$1,723 - $4,901",Studio - 3 Br,773-904-9571
9,E South Water St Chicago 60601,"$1,691 - $4,110",Studio - 2 Br,866-599-7868
10,E South Water St Chicago 60601,"$1,617 - $5,248",Studio - 2 Br,312-288-8069
11,225 N Columbus Dr Chicago 60601,"$2,073 - $5,540",Studio - 2 Br,866-933-3491
12,730 W Couch Pl Chicago 60661,"$1,750 - $5,150",Studio - 3 Br,844-294-8524
13,N Des Plaines St Chicago 60661,"$1,983 - $5,366",Studio - 3 Br,312-957-4484
14,N Lake Shore Dr Chicago 60611,"$1,875 - $4,590",Studio - 2 Br,312-548-6742
15,S Hyde Park Blvd Chicago 60615,"$1,542 - $6,386",1-3 Br,773-432-4830
16,1890 Maple St Chicago 60201,"$1,639 - $5,468",Studio - 3 Br,224-420-9126
17,200 E Chestnut St Chicago 60611,"$1,535 - $3,582",Studio - 2 Br,708-315-6519
18,1209 W Arthur Ave Chicago 60626,"$1,575 - $2,575",Studio - 2 Br,773-649-4071
19,555 W Madison St Chicago 60661,"$1,375 - $4,835",Studio - 2 Br,888-692-0211
20,71 W Hubbard St Chicago 60654,"$1,870 - $6,535",Studio - 3 Br,312-219-9513
21,8 W Chestnut St Chicago 60610,"$1,339 - $2,779",1-2 Br,312-646-4941
22,850 S Clark St Chicago 60605,"$1,721 - $3,426",Studio - 2 Br,312-462-1938
23,545 N McClurg Ct Chicago 60611,"$1,972 - $8,865",Studio - 3 Br,844-382-0901
24,N Lake Shore Dr Chicago 60610,"$1,272 - $3,078",Studio - 2 Br,312-462-0403
