,Address,Price,Beds,Contact
0,601 W Jackson Blvd Chicago 60661,"$1,305 - 4,541",,844-443-8919
1,420 E Ohio St Chicago 60611,"$1,615 - 4,600",,888-380-0393
2,840 W Blackhawk St Chicago 60642,"$1,919 - 4,569",,866-958-8596
3,1 W Superior St Chicago 60654,"$1,760 - 5,254",,312-219-9516
4,200 E Illinois St Chicago 60611,"$1,883 - 12,878",,773-273-6395
5,500 N Milwaukee Ave Chicago 60622,"$1,680 - 5,500",,312-964-3768
6,625 W Division St Chicago 60610,"$1,925 - 3,625",,844-525-6919
7,707 N Wells St Chicago 60654,"$2,707 - 5,521",,844-312-7045
8,W Wolf Point Plz Chicago 60654,"$1,918 - 10,900",,844-811-0188
9,E South Water St Chicago 60601,"$1,779 - 4,103",,866-599-7868
10,E South Water St Chicago 60601,"$2,061 - 5,185",,312-288-8069
11,225 N Columbus Dr Chicago 60601,"$2,087 - 5,525",,866-933-3491
12,345 E Wacker Dr Chicago 60601,"$1,955 - 4,901",,773-904-9571
13,555 W Kinzie St Chicago 60654,"$1,561 - 5,735",,312-288-8972
14,730 W Couch Pl Chicago 60661,"$1,750 - 5,550",,844-294-8524
15,N Des Plaines St Chicago 60661,"$2,032 - 5,091",,312-957-4484
16,1890 Maple St Chicago 60201,"$1,690 - 10,000",,224-420-9126
17,200 E Chestnut St Chicago 60611,"$1,445 - 11,443",,708-315-6519
18,1209 W Arthur Ave Chicago 60626,"$1,575 - 2,575",,773-649-4071
19,71 W Hubbard St Chicago 60654,"$1,918 - 6,535",,312-219-9513
20,850 S Clark St Chicago 60605,"$1,757 - 3,419",,312-462-1938
21,555 W Madison St Chicago 60661,"$1,389 - 4,777",,888-692-0211
22,545 N McClurg Ct Chicago 60611,"$1,995 - 8,805",,844-382-0901
23,8 W Chestnut St Chicago 60610,"$1,339 - 2,789",,312-646-4941
24,347 W Chestnut St Chicago 60610,"$1,725 - 6,500",,312-702-1232
