,Address,Price,Beds,Contact
0,S Hyde Park Blvd Chicago 60615,"$1,399 - $5,294",1-3 Br,773-432-4830
1,200 E Chestnut St Chicago 60611,"$1,294 - $7,591",Studio - 2 Br,708-315-6519
2,71 W Hubbard St Chicago 60654,"$1,795 - $6,438",Studio - 3 Br,312-219-9513
3,850 S Clark St Chicago 60605,"$1,392 - $3,196",Studio - 2 Br,312-462-1938
4,555 W Madison St Chicago 60661,"$1,375 - $7,740",Studio - 2 Br,888-692-0211
5,8 W Chestnut St Chicago 60610,"$1,629 - $2,699",1-2 Br,312-646-4941
6,1130 S Michigan Ave Chicago 60605,"$1,437 - $3,665",Studio - 2 Br,866-610-8317
7,N Lake Shore Dr Chicago 60610,"$1,338 - $2,998",Studio - 2 Br,312-462-0403
8,25 W Randolph St Chicago 60602,"$1,823 - $7,987",Studio - 3 Br,844-808-9214
9,1164-1212 W Madison St Chicago 60607,"$1,875 - $3,250",Studio - 2 Br,844-737-7559
10,910 W Huron St Chicago 60642,"$2,005 - $4,525",Studio - 4 Br,844-741-2982
11,400 N McClurg Ct Chicago 60611,"$1,725 - $2,924",Studio - 2 Br,844-482-6861
12,161 W Kinzie St Chicago 60654,"$1,745 - $6,337",Studio - 2 Br,844-892-1659
13,601 W Jackson Blvd Chicago 60661,"$1,740 - $4,098",Studio - 2 Br,844-443-8919
14,1642-1660 E 56th St Chicago 60637,"$1,165 - $2,199",Studio - 2 Br,844-406-5855
15,840 W Blackhawk St Chicago 60642,"$1,842 - $4,080",Studio - 2 Br,866-958-8596
16,220 W Illinois St Chicago 60654,"$2,075 - $4,145",Studio - 2 Br,773-492-6656
17,200 E Illinois St Chicago 60611,"$2,053 - $12,878",Studio - 4 Br,773-273-6395
18,625 W Division St Chicago 60610,"$1,775 - $3,700",Studio - 2 Br,844-525-6919
19,707 N Wells St Chicago 60654,"$2,740 - $5,621",1-3 Br,844-837-3913
20,1 W Superior St Chicago 60654,"$1,585 - $4,946",Studio - 2 Br,312-219-9516
21,3402-3453 N Elaine Pl Chicago 60657,"$1,472 - $3,488",1-3 Br,844-889-9247
22,E South Water St Chicago 60601,"$1,736 - $2,616",Studio - 2 Br,866-599-7868
23,E South Water St Chicago 60601,"$1,880 - $5,102",Studio - 2 Br,312-288-8069
