,Address,Price,Beds,Contact
0,601 W Jackson Blvd Chicago 60661,"$1,306 - $4,749",Studio - 2 Br,844-443-8919
1,420 E Ohio St Chicago 60611,"$1,615 - $4,495",Studio - 3 Br,888-380-0393
2,840 W Blackhawk St Chicago 60642,"$1,910 - $4,560",Studio - 2 Br,866-958-8596
3,1 W Superior St Chicago 60654,"$1,754 - $5,018",Studio - 2 Br,312-219-9516
4,200 E Illinois St Chicago 60611,"$2,373 - $12,878",Studio - 3 Br,773-273-6395
5,500 N Milwaukee Ave Chicago 60622,"$1,580 - $5,500",Studio - 3 Br,312-964-3768
6,625 W Division St Chicago 60610,"$1,875 - $3,650",Studio - 2 Br,844-525-6919
7,707 N Wells St Chicago 60654,"$2,707 - $5,521",1-3 Br,844-837-3913
8,225 N Columbus Dr Chicago 60601,"$2,051 - $5,405",Studio - 2 Br,866-933-3491
9,W Wolf Point Plz Chicago 60654,"$1,908 - $10,900",Studio - 3 Br,844-811-0188
10,E South Water St Chicago 60601,"$1,769 - $4,168",Studio - 2 Br,866-599-7868
11,E South Water St Chicago 60601,"$1,892 - $5,441",Studio - 2 Br,312-288-8069
12,345 E Wacker Dr Chicago 60601,"$1,933 - $4,861",Studio - 3 Br,773-904-9571
13,730 W Couch Pl Chicago 60661,"$1,750 - $5,150",Studio - 3 Br,844-294-8524
14,555 W Kinzie St Chicago 60654,"$1,600 - $4,597",Studio - 3 Br,312-288-8972
15,N Des Plaines St Chicago 60661,"$1,944 - $4,812",Studio - 3 Br,312-957-4484
16,S Hyde Park Blvd Chicago 60615,"$1,415 - $3,927",1-3 Br,773-432-4830
17,N Lake Shore Dr Chicago 60611,"$1,870 - $4,125",Studio - 2 Br,312-548-6742
18,347 W Chestnut St Chicago 60610,"$1,725 - $6,200",Studio - 3 Br,312-702-1232
19,1890 Maple St Chicago 60201,"$1,648 - $5,000",Studio - 3 Br,224-420-9126
20,200 E Chestnut St Chicago 60611,"$1,460 - $9,127",Studio - 2 Br,708-315-6519
21,1209 W Arthur Ave Chicago 60626,"$1,380 - $2,575",Studio - 2 Br,773-649-4071
22,555 W Madison St Chicago 60661,"$1,390 - $5,015",Studio - 2 Br,888-692-0211
23,71 W Hubbard St Chicago 60654,"$1,870 - $6,483",Studio - 3 Br,312-219-9513
24,850 S Clark St Chicago 60605,"$1,740 - $3,344",Studio - 2 Br,312-462-1938
