,Address,Price,Beds,Contact
0,S Hyde Park Blvd Chicago 60615,"$1,398 - $5,781",1-3 Br,773-432-4830
1,805 N LaSalle Dr Chicago 60610,"$1,600 - $5,100",Studio - 2 Br,872-206-3038
2,400 N McClurg Ct Chicago 60611,"$1,845 - $2,926",Studio - 2 Br,844-482-6861
3,765 W Adams St Chicago 60661,"$1,659 - $9,350",Studio - 3 Br,773-675-1174
4,200 E Chestnut St Chicago 60611,"$1,188 - $7,177",Studio - 2 Br,708-315-6519
5,555 W Madison St Chicago 60661,"$1,286 - $4,000",Studio - 2 Br,888-692-0211
6,161 W Kinzie St Chicago 60654,"$1,840 - $6,337",Studio - 2 Br,844-892-1659
7,401-465 E Illinois St Chicago 60611,"$1,775 - $4,445",Studio - 2 Br,844-274-9788
8,200 E Illinois St Chicago 60611,"$1,924 - $12,878",Studio - 4 Br,773-273-6395
9,220 W Illinois St Chicago 60654,"$2,025 - $4,145",Studio - 2 Br,773-492-6656
10,N Lake Shore Dr Chicago 60610,"$1,272 - $2,994",Studio - 2 Br,312-462-0403
11,71 W Hubbard St Chicago 60654,"$1,787 - $6,495",Studio - 3 Br,312-219-9513
12,3402-3453 N Elaine Pl Chicago 60657,"$1,672 - $3,488",1-3 Br,844-889-9247
13,500 E 33rd St Chicago 60616,"$837 - $2,000",Studio - 3 Br,312-985-0261
14,1130 S Michigan Ave Chicago 60605,"$1,329 - $3,273",Studio - 2 Br,866-610-8317
15,1164-1212 W Madison St Chicago 60607,"$1,875 - $3,250",Studio - 2 Br,844-737-7559
16,910 W Huron St Chicago 60642,"$1,950 - $3,410",Studio - 4 Br,844-741-2982
17,850 S Clark St Chicago 60605,"$1,765 - $3,584",Studio - 2 Br,312-462-1938
18,W Van Buren St Chicago 60605,"$1,899 - $1,999",Studio - 4 Br,844-250-5735
19,1 W Superior St Chicago 60654,"$1,636 - $4,673",Studio - 2 Br,312-219-9516
20,840 W Blackhawk St Chicago 60642,"$1,687 - $4,050",Studio - 2 Br,866-958-8596
21,11 S Green St Chicago 60607,"$1,675 - $3,335",Studio - 2 Br,844-417-3242
22,N Lake Shore Dr Chicago 60611,"$2,235 - $3,825",Studio - 2 Br,312-548-6742
23,345 E Wacker Dr Chicago 60601,"$1,633 - $4,688",Studio - 3 Br,773-904-9571
