,Address,Price,Beds,Contact
0,10 Apartments in Chicago 420,"$1,740 - 4,400",Studio - 3 Bed,
1,"420 E Ohio St, Chicago, IL","$1,740 - 4,400",Studio - 3 Bed,888-380-0393
2,"500 N Milwaukee Ave, Chicago, IL","$1,705 - 5,460",Studio - 3 Bed,312-964-3768
3,"601 W Jackson Blvd, Chicago, IL","$1,732 - 4,763",Studio - 2 Bed,844-443-8919
4,"200 E Illinois St, Chicago, IL","$2,005 - 10,325",Studio - 3 Bed,773-273-6395
5,"2300 S Michigan Ave, Chicago, IL","$1,520 - 2,705",1-2 Bed,312-646-4878
6,"555 W Madison St, Chicago, IL","$1,235 - 3,155",Studio - 2 Bed,888-692-0211
7,"1350 N Wells St, Chicago, IL","$1,565 - 3,645",Studio - 2 Bed,866-854-1757
8,"4334 N Hazel St, Chicago, IL","$1,400 - 2,310",Studio - 2 Bed,888-769-6192
9,"Martin Luther King Dr, Chicago, IL","$763 - 10,069",Studio - 3 Bed,844-827-1869
10,"N Lake Shore Dr, Chicago, IL","$1,530 - 3,245",Studio - 2 Bed,844-740-9960
11,"500 E 33rd St, Chicago, IL","$762 - 4,199",Studio - 3 Bed,844-687-6555
12,"730 W Couch Pl, Chicago, IL","$1,835 - 5,635",Studio - 3 Bed,844-294-8524
13,"W Wolf Point Plz, Chicago, IL","$1,808 - 10,494",Studio - 3 Bed,844-811-0188
14,"167 W Erie St, Chicago, IL","$1,830 - 5,131",Studio - 3 Bed,844-249-5467
15,"1333 S Wabash Ave, Chicago, IL","$1,885 - 7,534",1-3 Bed,312-767-5990
16,"165 W Superior, Chicago, IL","$1,819 - 6,965",Studio - 3 Bed,844-214-0691
17,"1136-1140 S Wabash Ave, Chicago, IL","$1,445 - 3,460",Studio - 2 Bed,312-637-6585
18,"225 N Columbus Dr, Chicago, IL","$1,962 - 5,515",Studio - 2 Bed,866-933-3491
19,"445 E Ohio St, Chicago, IL","$1,523 - 2,597",Studio - 2 Bed,877-395-7096
20,"555 W Kinzie St, Chicago, IL","$1,616 - 3,706",Studio - 3 Bed,312-288-8972
21,"345 E Wacker Dr, Chicago, IL","$1,639 - 4,281",Studio - 3 Bed,773-904-9571
22,"4050-4064 W 115th St, Chicago, IL","$709 - 1,486",Studio - 2 Bed,331-481-7724
23,"545 N McClurg Ct, Chicago, IL","$2,300 - 8,805",Studio - 3 Bed,844-382-0901
24,"2 E 8th St, Chicago, IL","$1,625 - 5,255",Studio - 3 Bed,855-401-6653
