,Address,Price,Beds,Contact
0,"in Chicago Luxe on Chicago ,","$777 - 3,513",Studio - 3 Bed,
1,"1222 W Madison St, Chicago, IL","$777 - 3,513",Studio - 3 Bed,773-358-2809
2,"675 N Wells St, Chicago, IL","$1,662 - 5,589",Studio - 2 Bed,847-979-4467
3,"215 W Lake St, Chicago, IL","$1,945 - 5,520",Studio - 3 Bed,224-220-3563
4,"165 N Desplaines St, Chicago, IL","$1,875 - 3,900",Studio - 2 Bed,312-964-3725
5,"420 E Ohio St, Chicago, IL","$1,790 - 4,390",Studio - 3 Bed,888-380-0393
6,"500 N Milwaukee Ave, Chicago, IL","$1,657 - 5,158",Studio - 3 Bed,312-964-3768
7,"601 W Jackson Blvd, Chicago, IL","$1,689 - 4,340",Studio - 2 Bed,844-443-8919
8,"200 E Illinois St, Chicago, IL","$2,290 - 10,280",Studio - 3 Bed,773-273-6395
9,"121 W Chestnut St, Chicago, IL","$1,543 - 5,287",1-3 Bed,312-462-0329
10,"S Hyde Park Blvd, Chicago, IL","$1,462 - 6,034",1-3 Bed,773-432-4830
11,"4334 N Hazel St, Chicago, IL","$1,355 - 3,050",Studio - 2 Bed,888-769-6192
12,"Martin Luther King Dr, Chicago, IL","$811 - 11,854",Studio - 3 Bed,844-827-1869
13,"N Lake Shore Dr, Chicago, IL","$1,715 - 2,825",Studio - 2 Bed,844-740-9960
14,"730 W Couch Pl, Chicago, IL","$1,835 - 5,560",Studio - 3 Bed,844-294-8524
15,"167 W Erie St, Chicago, IL","$1,813 - 5,916",Studio - 3 Bed,844-249-5467
16,"1333 S Wabash Ave, Chicago, IL","$1,883 - 7,509",1-3 Bed,312-767-5990
17,"165 W Superior, Chicago, IL","$1,733 - 7,803",Studio - 3 Bed,844-214-0691
18,"W Wolf Point Plz, Chicago, IL","$2,012 - 19,604",Studio - 3 Bed,844-811-0188
19,"1136-1140 S Wabash Ave, Chicago, IL","$1,392 - 3,460",Studio - 2 Bed,312-637-6585
20,"225 N Columbus Dr, Chicago, IL","$1,839 - 5,141",Studio - 2 Bed,866-933-3491
21,"445 E Ohio St, Chicago, IL","$1,450 - 2,662",Studio - 2 Bed,877-395-7096
22,"555 W Kinzie St, Chicago, IL","$1,348 - 5,569",Studio - 3 Bed,312-288-8972
23,"345 E Wacker Dr, Chicago, IL","$1,712 - 5,171",Studio - 3 Bed,773-904-9571
24,"4050-4064 W 115th St, Chicago, IL","$735 - 1,602",Studio - 2 Bed,331-481-7724
25,"545 N McClurg Ct, Chicago, IL","$2,190 - 7,965",Studio - 3 Bed,844-382-0901
