,Address,Price,Beds,Contact
0,N Lake Shore Dr Chicago 60611,"$1,990 - 4,130",,312-548-6742
1,S Hyde Park Blvd Chicago 60615,"$1,383 - 3,842",,773-432-4830
2,840 W Blackhawk St Chicago 60642,"$2,071 - 4,537",,866-958-8596
3,1 W Superior St Chicago 60654,"$1,676 - 4,140",,312-219-9516
4,200 E Illinois St Chicago 60611,"$2,182 - 12,878",,773-273-6395
5,500 N Milwaukee Ave Chicago 60622,"$1,580 - 5,500",,312-964-3768
6,625 W Division St Chicago 60610,"$1,875 - 3,650",,844-525-6919
7,707 N Wells St Chicago 60654,"$2,707 - 5,521",,844-837-3913
8,601 W Jackson Blvd Chicago 60661,"$1,466 - 4,640",,844-443-8919
9,420 E Ohio St Chicago 60611,"$1,575 - 4,160",,888-380-0393
10,S LAKE SHORE Dr Chicago 60615,"$1,337 - 2,815",,866-611-2494
11,5454 S Shore Dr Chicago 60615,"$1,625 - 3,775",,844-815-4511
12,4726-4740 S Woodlawn Ave Chicago 60615,"$810 - 1,320",,844-265-5221
13,401-465 E Illinois St Chicago 60611,"$1,995 - 5,035",,844-274-9788
14,W Wolf Point Plz Chicago 60654,"$1,908 - 10,900",,844-811-0188
15,E South Water St Chicago 60601,"$1,900 - 4,836",,866-599-7868
16,E South Water St Chicago 60601,"$1,643 - 5,431",,312-288-8069
17,225 N Columbus Dr Chicago 60601,"$1,998 - 5,368",,866-933-3491
18,345 E Wacker Dr Chicago 60601,"$2,060 - 5,018",,773-904-9571
19,730 W Couch Pl Chicago 60661,"$1,750 - 5,000",,844-294-8524
20,555 W Kinzie St Chicago 60654,"$1,645 - 4,434",,312-288-8972
21,N Des Plaines St Chicago 60661,"$2,057 - 4,681",,312-957-4484
22,1890 Maple St Chicago 60201,"$1,636 - 5,988",,224-420-9126
23,200 E Chestnut St Chicago 60611,"$1,384 - 8,894",,708-315-6519
