,Address,Price,Beds,Contact
0,N Des Plaines St Chicago 60661,"$2,389 - $5,330",Studio - 3 Br,312-957-4484
1,161 W Kinzie St Chicago 60654,"$1,875 - $6,337",Studio - 2 Br,844-892-1659
2,E North Water St Chicago 60611,"$1,819 - $11,025",Studio - 3 Br,844-402-4750
3,555 W Madison St Chicago 60661,"$1,350 - $3,985",Studio - 2 Br,888-692-0211
4,910 W Huron St Chicago 60642,"$1,890 - $4,595",Studio - 4 Br,844-741-2982
5,401-465 E Illinois St Chicago 60611,"$1,775 - $4,445",Studio - 2 Br,844-274-9788
6,1164-1212 W Madison St Chicago 60607,"$1,875 - $3,250",Studio - 2 Br,844-737-7559
7,71 W Hubbard St Chicago 60654,"$1,795 - $6,495",Studio - 3 Br,312-219-9513
8,200 E Chestnut St Chicago 60611,"$1,143 - $7,467",Studio - 2 Br,708-315-6519
9,S Hyde Park Blvd Chicago 60615,"$1,427 - $5,781",1-3 Br,773-432-4830
10,225 N Columbus Dr Chicago 60601,"$1,630 - $3,682",Studio - 2 Br,866-933-3491
11,N Lake Shore Dr Chicago 60611,"$1,745 - $3,990",Studio - 2 Br,312-548-6742
12,E South Water St Chicago 60601,"$1,660 - $3,526",Studio - 2 Br,866-599-7868
13,850 S Clark St Chicago 60605,"$1,771 - $3,571",Studio - 2 Br,312-462-1938
14,3402-3453 N Elaine Pl Chicago 60657,"$1,672 - $3,488",1-3 Br,844-889-9247
15,N Lake Shore Dr Chicago 60610,"$1,236 - $2,994",Studio - 2 Br,312-462-0403
16,N Lake Shore Dr Chicago 60611,"$2,360 - $10,000",Studio - 3 Br,312-462-1903
17,1 W Superior St Chicago 60654,"$1,441 - $3,534",Studio - 2 Br,312-219-9516
18,765 W Adams St Chicago 60661,"$1,659 - $9,350",Studio - 3 Br,773-675-1174
19,400 N McClurg Ct Chicago 60611,"$1,752 - $3,019",Studio - 2 Br,844-482-6861
20,840 W Blackhawk St Chicago 60642,"$1,687 - $4,103",Studio - 2 Br,866-958-8596
21,1130 S Michigan Ave Chicago 60605,"$1,538 - $3,443",Studio - 2 Br,866-610-8317
22,E South Water St Chicago 60601,"$1,551 - $4,395",Studio - 2 Br,312-288-8069
23,220 W Illinois St Chicago 60654,"$2,025 - $4,145",Studio - 2 Br,773-492-6656
