,Address,Price,Beds,Contact
0,1 W Superior St Chicago  60654,"$1,563 - $4,114",Studio - 2 Br,312-219-9516
1,840 W Blackhawk St Chicago  60642,"$2,026 - $4,537",Studio - 2 Br,866-958-8596
2,601 W Jackson Blvd Chicago  60661,"$1,520 - $4,565",Studio - 2 Br,844-443-8919
3,555 W Kinzie St Chicago  60654,"$1,427 - $4,499",Studio - 3 Br,312-288-8972
4,1209 W Arthur Ave Chicago  60626,"$1,450 - $2,290",Studio - 2 Br,773-649-4071
5,625 W Division St Chicago  60610,"$1,825 - $3,700",Studio - 2 Br,844-525-6919
6,500 N Lake Shore Dr Chicago  60611,"$2,025 - $4,090",Studio - 2 Br,312-548-6742
7,5140 S Hyde Park Blvd Chicago  60615,"$1,439 - $4,037",1-3 Br,773-432-4830
8,200 E Chestnut St Chicago  60611,"$1,198 - $8,375",Studio - 2 Br,708-315-6519
9,1350 N Lake Shore Dr Chicago  60610,"$1,367 - $3,078",Studio - 2 Br,312-462-0403
10,1130 S Michigan Ave Chicago  60605,"$1,486 - $3,681",Studio - 2 Br,866-610-8317
11,25 W Randolph St Chicago  60602,"$1,823 - $7,987",Studio - 3 Br,844-808-9214
12,161 W Kinzie St Chicago  60654,"$1,695 - $6,337",Studio - 2 Br,844-892-1659
13,400 N McClurg Ct Chicago  60611,"$1,740 - $3,061",Studio - 2 Br,844-482-6861
14,71 W Hubbard St Chicago  60654,"$1,795 - $6,483",Studio - 3 Br,312-219-9513
15,850 S Clark St Chicago  60605,"$1,756 - $3,510",Studio - 2 Br,312-462-1938
16,555 W Madison St Chicago  60661,"$1,395 - $4,065",Studio - 2 Br,888-692-0211
17,8 W Chestnut St Chicago  60610,"$1,539 - $2,709",1-2 Br,312-646-4941
18,1642-1660 E 56th St Chicago  60637,"$1,160 - $2,224",Studio - 2 Br,844-406-5855
19,200 E Illinois St Chicago  60611,"$2,168 - $12,878",Studio - 3 Br,773-273-6395
20,400 E South Water St Chicago  60601,"$1,792 - $4,595",Studio - 2 Br,866-599-7868
21,360 E South Water St Chicago  60601,"$1,585 - $4,239",Studio - 2 Br,312-288-8069
22,343 W Wolf Point Plz Chicago  60654,"$1,841 - $10,900",Studio - 3 Br,844-811-0188
23,225 N Columbus Dr Chicago  60601,"$1,728 - $5,315",Studio - 2 Br,866-933-3491
24,345 E Wacker Dr Chicago  60601,"$1,701 - $4,199",Studio - 3 Br,773-904-9571
