,Address,Price,Beds,Contact
0,400 E South Water St Chicago  60601,"$1,713 - $4,376",Studio - 2 Br,866-599-7868
1,360 E South Water St Chicago  60601,"$1,879 - $4,226",Studio - 2 Br,312-288-8069
2,343 W Wolf Point Plz Chicago  60654,"$1,821 - $10,900",Studio - 3 Br,844-811-0188
3,225 N Columbus Dr Chicago  60601,"$1,654 - $5,352",Studio - 2 Br,866-933-3491
4,345 E Wacker Dr Chicago  60601,"$1,806 - $3,693",Studio - 3 Br,773-904-9571
5,555 W Kinzie St Chicago  60654,"$1,560 - $4,480",Studio - 3 Br,312-288-8972
6,123 N Des Plaines St Chicago  60661,"$2,007 - $4,537",Studio - 3 Br,312-957-4484
7,601 W Jackson Blvd Chicago  60661,"$1,524 - $4,514",Studio - 2 Br,844-443-8919
8,500 N Lake Shore Dr Chicago  60611,"$2,015 - $2,780",Studio - 1 Br,312-548-6742
9,5140 S Hyde Park Blvd Chicago  60615,"$1,462 - $3,969",1-3 Br,773-432-4830
10,200 E Chestnut St Chicago  60611,"$1,334 - $9,151",Studio - 2 Br,708-315-6519
11,71 W Hubbard St Chicago  60654,"$1,795 - $6,483",Studio - 3 Br,312-219-9513
12,850 S Clark St Chicago  60605,"$1,785 - $3,559",Studio - 2 Br,312-462-1938
13,555 W Madison St Chicago  60661,"$1,377 - $4,065",Studio - 2 Br,888-692-0211
14,8 W Chestnut St Chicago  60610,"$1,575 - $2,709",1-2 Br,312-646-4941
15,1350 N Lake Shore Dr Chicago  60610,"$1,367 - $3,078",Studio - 2 Br,312-462-0403
16,1130 S Michigan Ave Chicago  60605,"$1,380 - $3,681",Studio - 2 Br,866-610-8317
17,25 W Randolph St Chicago  60602,"$1,823 - $7,987",Studio - 3 Br,844-808-9214
18,1164-1212 W Madison St Chicago  60607,"$1,875 - $3,250",Studio - 2 Br,844-737-7559
19,910 W Huron St Chicago  60642,"$1,920 - $3,860",Studio - 4 Br,844-741-2982
20,161 W Kinzie St Chicago  60654,"$1,695 - $6,337",Studio - 2 Br,844-892-1659
21,400 N McClurg Ct Chicago  60611,"$1,751 - $2,973",Studio - 2 Br,844-482-6861
22,1642-1660 E 56th St Chicago  60637,"$1,160 - $2,194",Studio - 2 Br,844-406-5855
23,840 W Blackhawk St Chicago  60642,"$1,944 - $4,130",Studio - 2 Br,866-958-8596
