,Address,Price,Beds,Contact
0,10 Apartments in Chicago ,"$1,810 - 7,825",Studio - 3 Bed,
1,"765 W Adams St, Chicago, IL ","$1,810 - 7,825",Studio - 3 Bed,773-675-1174
2,"2300 S Michigan Ave, Chicago, IL ","$1,590 - 2,830",1-2 Bed,312-646-4878
3,"169 W Huron St, Chicago, IL ","$1,710 - 5,577",Studio - 2 Bed,847-979-4467
4,"165 N Desplaines St, Chicago, IL ","$1,875 - 3,900",Studio - 2 Bed,312-964-3725
5,"215 W Lake St, Chicago, IL ","$1,945 - 5,520",Studio - 3 Bed,224-220-3563
6,"420 E Ohio St, Chicago, IL ","$1,740 - 4,430",Studio - 3 Bed,888-380-0393
7,"500 N Milwaukee Ave, Chicago, IL ","$1,705 - 5,460",Studio - 3 Bed,312-964-3768
8,"601 W Jackson Blvd, Chicago, IL ","$1,732 - 4,298",Studio - 2 Bed,844-443-8919
9,"200 E Illinois St, Chicago, IL ","$2,005 - 10,325",Studio - 3 Bed,773-273-6395
10,"555 W Madison St, Chicago, IL ","$1,360 - 3,224",Studio - 2 Bed,888-692-0211
11,"1350 N Wells St, Chicago, IL ","$1,590 - 3,595",Studio - 2 Bed,866-854-1757
12,"4334 N Hazel St, Chicago, IL ","$1,470 - 2,875",Studio - 2 Bed,888-769-6192
13,"2851 S Martin Luther King Dr, Chicago, IL ","$749 - 10,203",Studio - 3 Bed,844-827-1869
14,"1350 N Lake Shore Dr, Chicago, IL ","$1,531 - 3,290",Studio - 2 Bed,844-740-9960
15,"730 W Couch Pl, Chicago, IL ","$1,835 - 5,635",Studio - 3 Bed,844-294-8524
16,"167 W Erie St, Chicago, IL ","$1,830 - 5,916",Studio - 3 Bed,844-249-5467
17,"1333 S Wabash Ave, Chicago, IL ","$1,885 - 7,534",1-3 Bed,312-767-5990
18,"165 W Superior, Chicago, IL ","$1,915 - 7,095",Studio - 3 Bed,844-214-0691
19,"343 W Wolf Point Plz, Chicago, IL ","$2,023 - 11,849",Studio - 3 Bed,844-811-0188
20,"1136-1140 S Wabash Ave, Chicago, IL ","$1,445 - 3,460",Studio - 2 Bed,312-637-6585
21,"225 N Columbus Dr, Chicago, IL ","$2,196 - 5,452",Studio - 2 Bed,866-933-3491
22,"445 E Ohio St, Chicago, IL ","$1,498 - 2,597",Studio - 2 Bed,877-395-7096
23,"555 W Kinzie St, Chicago, IL ","$1,558 - 5,754",Studio - 3 Bed,312-288-8972
24,"345 E Wacker Dr, Chicago, IL ","$1,539 - 4,281",Studio - 3 Bed,773-904-9571
