,Address,Price,Beds,Contact
0,200 E Illinois St Chicago  60611,"$2,061 - $12,878",Studio - 4 Br,773-273-6395
1,1350 N Lake Shore Dr Chicago  60610,"$1,236 - $2,994",Studio - 2 Br,312-462-0403
2,200 E Chestnut St Chicago  60611,"$1,210 - $7,597",Studio - 2 Br,708-315-6519
3,555 W Madison St Chicago  60661,"$1,260 - $4,000",Studio - 2 Br,888-692-0211
4,1130 S Michigan Ave Chicago  60605,"$1,538 - $3,443",Studio - 2 Br,866-610-8317
5,910 W Huron St Chicago  60642,"$1,870 - $4,525",Studio - 4 Br,844-741-2982
6,1 W Superior St Chicago  60654,"$1,561 - $3,509",Studio - 2 Br,312-219-9516
7,850 N Lake Shore Dr Chicago  60611,"$2,360 - $10,000",Studio - 3 Br,312-462-1903
8,1164-1212 W Madison St Chicago  60607,"$1,875 - $3,250",Studio - 2 Br,844-737-7559
9,500 N Lake Shore Dr Chicago  60611,"$1,755 - $3,985",Studio - 2 Br,312-548-6742
10,360 E South Water St Chicago  60601,"$1,624 - $4,395",Studio - 2 Br,312-288-8069
11,400 E South Water St Chicago  60601,"$1,660 - $3,947",Studio - 2 Br,866-599-7868
12,11 S Green St Chicago  60607,"$1,584 - $3,425",Studio - 2 Br,844-417-3242
13,5140 S Hyde Park Blvd Chicago  60615,"$1,427 - $5,781",1-3 Br,773-432-4830
14,500 E 33rd St Chicago  60616,"$879 - $2,000",Studio - 3 Br,312-985-0261
15,37 W Van Buren St Chicago  60605,"$1,105 - $2,530",Studio - 4 Br,844-250-5735
16,1642-1660 E 56th St Chicago  60637,"$1,105 - $2,530",Studio - 3 Br,844-406-5855
17,220 W Illinois St Chicago  60654,"$2,025 - $4,145",Studio - 2 Br,773-492-6656
18,401-465 E Illinois St Chicago  60611,"$1,775 - $4,445",Studio - 2 Br,844-274-9788
19,840 W Blackhawk St Chicago  60642,"$1,687 - $4,126",Studio - 2 Br,866-958-8596
20,71 W Hubbard St Chicago  60654,"$1,793 - $6,495",Studio - 3 Br,312-219-9513
21,850 S Clark St Chicago  60605,"$1,771 - $3,571",Studio - 2 Br,312-462-1938
22,765 W Adams St Chicago  60661,"$1,659 - $9,350",Studio - 3 Br,773-675-1174
23,3402-3453 N Elaine Pl Chicago  60657,"$1,672 - $3,840",1-3 Br,844-889-9247
24,345 E Wacker Dr Chicago  60601,"$1,724 - $3,559",Studio - 3 Br,773-904-9571
