,Address,Price,Beds,Contact
0,200 E Chestnut St Chicago  60611,"$1,269 - $8,375",Studio - 2 Br,708-315-6519
1,1209 W Arthur Ave Chicago  60626,"$1,450 - $2,575",Studio - 2 Br,773-649-4071
2,71 W Hubbard St Chicago  60654,"$1,863 - $6,483",Studio - 3 Br,312-219-9513
3,555 W Madison St Chicago  60661,"$1,410 - $4,760",Studio - 2 Br,888-692-0211
4,850 S Clark St Chicago  60605,"$1,748 - $3,421",Studio - 2 Br,312-462-1938
5,545 N McClurg Ct Chicago  60611,"$1,766 - $8,805",Studio - 3 Br,844-382-0901
6,8 W Chestnut St Chicago  60610,"$1,475 - $2,709",1-2 Br,312-646-4941
7,1350 N Lake Shore Dr Chicago  60610,"$1,339 - $3,078",Studio - 2 Br,312-462-0403
8,1130 S Michigan Ave Chicago  60605,"$1,422 - $3,398",Studio - 2 Br,866-610-8317
9,25 W Randolph St Chicago  60602,"$1,915 - $7,987",Studio - 3 Br,844-808-9214
10,910 W Huron St Chicago  60642,"$1,920 - $3,865",Studio - 4 Br,844-741-2982
11,1164-1212 W Madison St Chicago  60607,"$1,875 - $3,250",Studio - 2 Br,844-737-7559
12,161 W Kinzie St Chicago  60654,"$1,625 - $6,337",Studio - 2 Br,844-892-1659
13,400 N McClurg Ct Chicago  60611,"$1,886 - $3,069",Studio - 2 Br,844-482-6861
14,1642-1660 E 56th St Chicago  60637,"$1,220 - $2,259",Studio - 2 Br,844-406-5855
15,840 W Blackhawk St Chicago  60642,"$2,136 - $4,268",Studio - 2 Br,866-958-8596
16,1 W Superior St Chicago  60654,"$1,633 - $4,096",Studio - 2 Br,312-219-9516
17,200 E Illinois St Chicago  60611,"$2,197 - $12,878",Studio - 3 Br,773-273-6395
18,625 W Division St Chicago  60610,"$1,850 - $3,650",Studio - 2 Br,844-525-6919
19,707 N Wells St Chicago  60654,"$2,760 - $5,621",1-3 Br,844-837-3913
20,601 W Jackson Blvd Chicago  60661,"$1,620 - $4,601",Studio - 2 Br,844-443-8919
21,500 N Milwaukee Ave Chicago  60622,Call for Rent,Studio - 3 Br,312-964-3768
22,730 W Couch Pl Chicago  60661,"$1,750 - $5,000",Studio - 3 Br,844-294-8524
23,343 W Wolf Point Plz Chicago  60654,"$1,841 - $10,900",Studio - 3 Br,844-811-0188
