,Address,Price,Beds,Contact
0,601 W Jackson Blvd Chicago,"$1,466 - $4,840",Studio - 2 Br,844-443-8919
1,420 E Ohio St Chicago,"$1,605 - $4,600",Studio - 3 Br,888-380-0393
2,500 N Milwaukee Ave Chicago,"$1,580 - $5,500",Studio - 3 Br,312-964-3768
3,840 W Blackhawk St Chicago,"$2,085 - $4,537",Studio - 2 Br,866-958-8596
4,1 W Superior St Chicago,"$1,676 - $4,131",Studio - 2 Br,312-219-9516
5,200 E Illinois St Chicago,"$2,268 - $12,878",Studio - 3 Br,773-273-6395
6,625 W Division St Chicago,"$1,875 - $3,650",Studio - 2 Br,844-525-6919
7,707 N Wells St Chicago,"$2,707 - $5,521",1-3 Br,844-837-3913
8,343 W Wolf Point Plz Chicago,"$1,908 - $10,900",Studio - 3 Br,844-811-0188
9,225 N Columbus Dr Chicago,"$2,028 - $5,392",Studio - 2 Br,866-933-3491
10,400 E South Water St Chicago,"$1,910 - $4,564",Studio - 2 Br,866-599-7868
11,360 E South Water St Chicago,"$1,696 - $5,480",Studio - 2 Br,312-288-8069
12,345 E Wacker Dr Chicago,"$2,151 - $4,688",Studio - 3 Br,773-904-9571
13,730 W Couch Pl Chicago,"$1,750 - $5,150",Studio - 3 Br,844-294-8524
14,555 W Kinzie St Chicago,"$1,630 - $4,396",Studio - 3 Br,312-288-8972
15,123 N Des Plaines St Chicago,"$1,959 - $4,683",Studio - 3 Br,312-957-4484
16,5140 S Hyde Park Blvd Chicago,"$1,383 - $3,842",1-3 Br,773-432-4830
17,500 N Lake Shore Dr Chicago,"$1,970 - $4,125",Studio - 2 Br,312-548-6742
18,200 E Chestnut St Chicago,"$1,407 - $8,894",Studio - 2 Br,708-315-6519
19,1890 Maple St Chicago,"$1,660 - $5,000",Studio - 3 Br,224-420-9126
20,1209 W Arthur Ave Chicago,"$1,450 - $2,575",Studio - 2 Br,773-649-4071
21,850 S Clark St Chicago,"$1,747 - $3,356",Studio - 2 Br,312-462-1938
22,71 W Hubbard St Chicago,"$1,870 - $6,483",Studio - 3 Br,312-219-9513
