nodes,Labels,xpaths
"Apartments for Rent in Chicago, IL | Apartments.com",NE,/html/head/title
Menu,NE,/html/body/div[1]/header/nav/div[1]/span/button/span
Sign In,NE,/html/body/div[1]/header/nav/div[2]/a[1]
Add a Listing,NE,/html/body/div[1]/header/nav/div[2]/a[2]
Back To Search,NE,/html/body/div[1]/main/section/header/a/span
Min Rent,NE,/html/body/div[1]/main/section/header/select[1]/option[1]
$400,NE,/html/body/div[1]/main/section/header/select[1]/option[2]
$500,NE,/html/body/div[1]/main/section/header/select[1]/option[3]
$600,NE,/html/body/div[1]/main/section/header/select[1]/option[4]
$700,NE,/html/body/div[1]/main/section/header/select[1]/option[5]
$800,NE,/html/body/div[1]/main/section/header/select[1]/option[6]
$900,NE,/html/body/div[1]/main/section/header/select[1]/option[7]
"$1,000",NE,/html/body/div[1]/main/section/header/select[1]/option[8]
"$1,100",NE,/html/body/div[1]/main/section/header/select[1]/option[9]
"$1,200",NE,/html/body/div[1]/main/section/header/select[1]/option[10]
"$1,300",NE,/html/body/div[1]/main/section/header/select[1]/option[11]
"$1,400",NE,/html/body/div[1]/main/section/header/select[1]/option[12]
"$1,500",NE,/html/body/div[1]/main/section/header/select[1]/option[13]
"$1,600",NE,/html/body/div[1]/main/section/header/select[1]/option[14]
"$1,700",NE,/html/body/div[1]/main/section/header/select[1]/option[15]
"$1,800",NE,/html/body/div[1]/main/section/header/select[1]/option[16]
"$1,900",NE,/html/body/div[1]/main/section/header/select[1]/option[17]
"$2,000",NE,/html/body/div[1]/main/section/header/select[1]/option[18]
"$2,100",NE,/html/body/div[1]/main/section/header/select[1]/option[19]
"$2,200",NE,/html/body/div[1]/main/section/header/select[1]/option[20]
"$2,300",NE,/html/body/div[1]/main/section/header/select[1]/option[21]
"$2,400",NE,/html/body/div[1]/main/section/header/select[1]/option[22]
"$2,500",NE,/html/body/div[1]/main/section/header/select[1]/option[23]
"$2,600",NE,/html/body/div[1]/main/section/header/select[1]/option[24]
"$2,700",NE,/html/body/div[1]/main/section/header/select[1]/option[25]
"$2,800",NE,/html/body/div[1]/main/section/header/select[1]/option[26]
"$2,900",NE,/html/body/div[1]/main/section/header/select[1]/option[27]
"$3,000",NE,/html/body/div[1]/main/section/header/select[1]/option[28]
"$3,100",NE,/html/body/div[1]/main/section/header/select[1]/option[29]
"$3,200",NE,/html/body/div[1]/main/section/header/select[1]/option[30]
"$3,300",NE,/html/body/div[1]/main/section/header/select[1]/option[31]
"$3,400",NE,/html/body/div[1]/main/section/header/select[1]/option[32]
"$3,500",NE,/html/body/div[1]/main/section/header/select[1]/option[33]
"$3,600",NE,/html/body/div[1]/main/section/header/select[1]/option[34]
"$3,700",NE,/html/body/div[1]/main/section/header/select[1]/option[35]
"$3,800",NE,/html/body/div[1]/main/section/header/select[1]/option[36]
"$3,900",NE,/html/body/div[1]/main/section/header/select[1]/option[37]
"$4,000",NE,/html/body/div[1]/main/section/header/select[1]/option[38]
"$4,200",NE,/html/body/div[1]/main/section/header/select[1]/option[39]
"$4,400",NE,/html/body/div[1]/main/section/header/select[1]/option[40]
