nodes	xpaths
Apartments for Rent in Chicago IL | Apartments.com	/html/head/title
"bazadebezolkohpepadr=""560701554"""	/html/head/script[5]
Menu	/html/body/div[1]/header/nav/div[1]/button/span
Renter Tools	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[1]/a
Favorites	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[1]/ul/li[1]/a
Saved Searches	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[1]/ul/li[2]/a
Rental Calculator	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[1]/ul/li[3]/a
Rental Manager Tools	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[2]/a
Apartments For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/a
Arlington Heights Apartments For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/ul/li[1]/a
Aurora Apartments For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/ul/li[2]/a
Chicago Apartments For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/ul/li[3]/a
Downers Grove Apartments For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/ul/li[4]/a
Evanston Apartments For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/ul/li[5]/a
Forest Park Apartments For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/ul/li[6]/a
Mount Prospect Apartments For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/ul/li[7]/a
Naperville Apartments For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/ul/li[8]/a
Niles Apartments For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/ul/li[9]/a
Oak Park Apartments For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/ul/li[10]/a
Palatine Apartments For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/ul/li[11]/a
River Forest Apartments For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/ul/li[12]/a
Skokie Apartments For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/ul/li[13]/a
Homes For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[4]/a
Chicago Homes For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[4]/ul/li[1]/a
Cook County Homes For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[4]/ul/li[2]/a
DuPage County Homes For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[4]/ul/li[3]/a
Gary Homes For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[4]/ul/li[4]/a
Kane County Homes For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[4]/ul/li[5]/a
Lake County Homes For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[4]/ul/li[6]/a
Will County Homes For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[4]/ul/li[7]/a
Condos For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/a
Chicago Condos For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/ul/li[1]/a
Evanston Condos For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/ul/li[2]/a
Highland Park Condos For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/ul/li[3]/a
Lake View East Condos For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/ul/li[4]/a
Lakeview Condos For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/ul/li[5]/a
Lincoln Park Condos For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/ul/li[6]/a
Winnetka Condos For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/ul/li[7]/a
Townhomes For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[6]/a
Chicago Townhomes For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[6]/ul/li[1]/a
Cook County Townhomes For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[6]/ul/li[2]/a
Help Center	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[7]/a
Español	/html/body/div[1]/header/nav/div[2]/a/span
Favorites	/html/body/div[1]/header/nav/div[5]/div[1]/span[2]
New	/html/body/div[1]/header/nav/div[5]/div[2]/span[2]
Alerts	/html/body/div[1]/header/nav/div[5]/div[3]/span
Sign Up	/html/body/div[1]/header/nav/div[6]/div/a[1]
Sign In	/html/body/div[1]/header/nav/div[6]/div/a[2]
Add a Property	/html/body/div[1]/header/nav/div[6]/a/span
Back to Search	/html/body/div[1]/main/section/header/div/div[1]/a/span
Search input	/html/body/div[1]/main/section/header/div/span[1]/label
Price	/html/body/div[1]/main/section/header/div/span[2]/div/a/span[1]
minimum Rent Input	/html/body/div[1]/main/section/header/div/span[2]/div/div/div/fieldset[1]/label
maximum Rent Input	/html/body/div[1]/main/section/header/div/span[2]/div/div/div/fieldset[2]/label
No Min	/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[1]/li[1]
$1,000	/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[1]/li[2]
$1,100	/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[1]/li[3]
$1,300	/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[1]/li[4]
$1,500	/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[1]/li[5]
