	nodes	xpaths
0	Apartments for Rent in Chicago IL | Apartments.com	/html/head/title
1	Menu	/html/body/div[1]/header/nav/div[1]/button/span
2	Renter Tools	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[1]/a
3	Favorites	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[1]/ul/li[1]/a
4	Saved Searches	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[1]/ul/li[2]/a
5	Rental Calculator	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[1]/ul/li[3]/a
6	Rental Manager Tools	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[2]/a
7	Apartments For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/a
8	Arlington Heights Apartments For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/ul/li[1]/a
9	Aurora Apartments For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/ul/li[2]/a
10	Chicago Apartments For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/ul/li[3]/a
11	Evanston Apartments For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/ul/li[4]/a
12	Forest Park Apartments For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/ul/li[5]/a
13	Naperville Apartments For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/ul/li[6]/a
14	Oak Park Apartments For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/ul/li[7]/a
15	Palatine Apartments For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/ul/li[8]/a
16	Park Ridge Apartments For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/ul/li[9]/a
17	Schaumburg Apartments For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/ul/li[10]/a
18	Skokie Apartments For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/ul/li[11]/a
19	Homes For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[4]/a
20	Chicago Homes For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[4]/ul/li[1]/a
21	Evanston Homes For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[4]/ul/li[2]/a
22	Far Northwest Suburban Cook Homes For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[4]/ul/li[3]/a
23	Gary Homes For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[4]/ul/li[4]/a
24	Hammond Homes For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[4]/ul/li[5]/a
25	Joliet Homes For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[4]/ul/li[6]/a
26	Lincoln Park Homes For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[4]/ul/li[7]/a
27	Naperville Homes For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[4]/ul/li[8]/a
28	Near North Side Homes For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[4]/ul/li[9]/a
29	Plainfield Homes For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[4]/ul/li[10]/a
30	South Shore Homes For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[4]/ul/li[11]/a
31	West Cook Homes For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[4]/ul/li[12]/a
32	Condos For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/a
33	Chicago Condos For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/ul/li[1]/a
34	Des Plaines Condos For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/ul/li[2]/a
35	Elk Grove Village Condos For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/ul/li[3]/a
36	Evanston Condos For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/ul/li[4]/a
37	Highland Park Condos For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/ul/li[5]/a
38	Lake View East Condos For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/ul/li[6]/a
39	Lakeview Condos For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/ul/li[7]/a
40	Lincoln Park Condos For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/ul/li[8]/a
41	Oak Park Condos For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/ul/li[9]/a
42	Schaumburg Condos For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/ul/li[10]/a
43	Skokie Condos For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/ul/li[11]/a
44	Wilmette Condos For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/ul/li[12]/a
45	Winnetka Condos For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/ul/li[13]/a
46	Townhomes For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[6]/a
47	Aurora Townhomes For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[6]/ul/li[1]/a
48	Chicago Townhomes For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[6]/ul/li[2]/a
49	Cook County Townhomes For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[6]/ul/li[3]/a
50	DuPage County Townhomes For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[6]/ul/li[4]/a
51	Kane County Townhomes For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[6]/ul/li[5]/a
52	Lake County Townhomes For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[6]/ul/li[6]/a
53	Naperville Townhomes For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[6]/ul/li[7]/a
54	Help Center	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[7]/a
55	Español	/html/body/div[1]/header/nav/div[2]/a/span
56	Favorites	/html/body/div[1]/header/nav/div[5]/div[1]/span[2]
57	New	/html/body/div[1]/header/nav/div[5]/div[2]/span[2]
58	Alerts	/html/body/div[1]/header/nav/div[5]/div[3]/span
59	Sign Up	/html/body/div[1]/header/nav/div[6]/div/a[1]
60	Sign In	/html/body/div[1]/header/nav/div[6]/div/a[2]
61	Add a Property	/html/body/div[1]/header/nav/div[6]/a/span
62	Back to Search	/html/body/div[1]/main/section/header/div/div[1]/a/span
63	Search input	/html/body/div[1]/main/section/header/div/span[1]/label
64	Price	/html/body/div[1]/main/section/header/div/span[2]/div/a/span[1]
65	minimum Rent Input	/html/body/div[1]/main/section/header/div/span[2]/div/div/div/fieldset[1]/label
66	maximum Rent Input	/html/body/div[1]/main/section/header/div/span[2]/div/div/div/fieldset[2]/label
67	No Min	/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[1]/li[1]
68	$1,000	/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[1]/li[2]
69	$1,100	/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[1]/li[3]
70	$1,300	/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[1]/li[4]
71	$1,500	/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[1]/li[5]
72	$1,800	/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[1]/li[6]
73	$2,000	/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[1]/li[7]
