	nodes	xpaths
0	Apartments for Rent in Chicago, IL | Apartments.com	/html/head/title
1	Menu	/html/body/div[1]/header/nav/div[1]/span/button/span
2	Sign In	/html/body/div[1]/header/nav/div[2]/a[1]
3	Add a Listing	/html/body/div[1]/header/nav/div[2]/a[2]
4	Back To Search	/html/body/div[1]/main/section/header/a/span
5	Min Rent	/html/body/div[1]/main/section/header/select[1]/option[1]
6	$400	/html/body/div[1]/main/section/header/select[1]/option[2]
7	$500	/html/body/div[1]/main/section/header/select[1]/option[3]
8	$600	/html/body/div[1]/main/section/header/select[1]/option[4]
9	$700	/html/body/div[1]/main/section/header/select[1]/option[5]
10	$800	/html/body/div[1]/main/section/header/select[1]/option[6]
11	$900	/html/body/div[1]/main/section/header/select[1]/option[7]
12	$1,000	/html/body/div[1]/main/section/header/select[1]/option[8]
13	$1,100	/html/body/div[1]/main/section/header/select[1]/option[9]
14	$1,200	/html/body/div[1]/main/section/header/select[1]/option[10]
15	$1,300	/html/body/div[1]/main/section/header/select[1]/option[11]
16	$1,400	/html/body/div[1]/main/section/header/select[1]/option[12]
17	$1,500	/html/body/div[1]/main/section/header/select[1]/option[13]
18	$1,600	/html/body/div[1]/main/section/header/select[1]/option[14]
19	$1,700	/html/body/div[1]/main/section/header/select[1]/option[15]
20	$1,800	/html/body/div[1]/main/section/header/select[1]/option[16]
21	$1,900	/html/body/div[1]/main/section/header/select[1]/option[17]
22	$2,000	/html/body/div[1]/main/section/header/select[1]/option[18]
23	$2,100	/html/body/div[1]/main/section/header/select[1]/option[19]
24	$2,200	/html/body/div[1]/main/section/header/select[1]/option[20]
25	$2,300	/html/body/div[1]/main/section/header/select[1]/option[21]
26	$2,400	/html/body/div[1]/main/section/header/select[1]/option[22]
27	$2,500	/html/body/div[1]/main/section/header/select[1]/option[23]
28	$2,600	/html/body/div[1]/main/section/header/select[1]/option[24]
29	$2,700	/html/body/div[1]/main/section/header/select[1]/option[25]
30	$2,800	/html/body/div[1]/main/section/header/select[1]/option[26]
31	$2,900	/html/body/div[1]/main/section/header/select[1]/option[27]
32	$3,000	/html/body/div[1]/main/section/header/select[1]/option[28]
33	$3,100	/html/body/div[1]/main/section/header/select[1]/option[29]
34	$3,200	/html/body/div[1]/main/section/header/select[1]/option[30]
35	$3,300	/html/body/div[1]/main/section/header/select[1]/option[31]
36	$3,400	/html/body/div[1]/main/section/header/select[1]/option[32]
37	$3,500	/html/body/div[1]/main/section/header/select[1]/option[33]
38	$3,600	/html/body/div[1]/main/section/header/select[1]/option[34]
39	$3,700	/html/body/div[1]/main/section/header/select[1]/option[35]
40	$3,800	/html/body/div[1]/main/section/header/select[1]/option[36]
41	$3,900	/html/body/div[1]/main/section/header/select[1]/option[37]
42	$4,000	/html/body/div[1]/main/section/header/select[1]/option[38]
43	$4,200	/html/body/div[1]/main/section/header/select[1]/option[39]
44	$4,400	/html/body/div[1]/main/section/header/select[1]/option[40]
45	$4,600	/html/body/div[1]/main/section/header/select[1]/option[41]
46	$4,800	/html/body/div[1]/main/section/header/select[1]/option[42]
47	$5,000	/html/body/div[1]/main/section/header/select[1]/option[43]
48	$7,500	/html/body/div[1]/main/section/header/select[1]/option[44]
49	$10,000	/html/body/div[1]/main/section/header/select[1]/option[45]
50	$15,000	/html/body/div[1]/main/section/header/select[1]/option[46]
51	Max Rent	/html/body/div[1]/main/section/header/select[2]/option[1]
52	$400	/html/body/div[1]/main/section/header/select[2]/option[2]
53	$500	/html/body/div[1]/main/section/header/select[2]/option[3]
54	$600	/html/body/div[1]/main/section/header/select[2]/option[4]
55	$700	/html/body/div[1]/main/section/header/select[2]/option[5]
56	$800	/html/body/div[1]/main/section/header/select[2]/option[6]
57	$900	/html/body/div[1]/main/section/header/select[2]/option[7]
58	$1,000	/html/body/div[1]/main/section/header/select[2]/option[8]
59	$1,100	/html/body/div[1]/main/section/header/select[2]/option[9]
60	$1,200	/html/body/div[1]/main/section/header/select[2]/option[10]
61	$1,300	/html/body/div[1]/main/section/header/select[2]/option[11]
62	$1,400	/html/body/div[1]/main/section/header/select[2]/option[12]
63	$1,500	/html/body/div[1]/main/section/header/select[2]/option[13]
64	$1,600	/html/body/div[1]/main/section/header/select[2]/option[14]
65	$1,700	/html/body/div[1]/main/section/header/select[2]/option[15]
66	$1,800	/html/body/div[1]/main/section/header/select[2]/option[16]
67	$1,900	/html/body/div[1]/main/section/header/select[2]/option[17]
68	$2,000	/html/body/div[1]/main/section/header/select[2]/option[18]
69	$2,100	/html/body/div[1]/main/section/header/select[2]/option[19]
70	$2,200	/html/body/div[1]/main/section/header/select[2]/option[20]
71	$2,300	/html/body/div[1]/main/section/header/select[2]/option[21]
72	$2,400	/html/body/div[1]/main/section/header/select[2]/option[22]
73	$2,500	/html/body/div[1]/main/section/header/select[2]/option[23]
74	$2,600	/html/body/div[1]/main/section/header/select[2]/option[24]
75	$2,700	/html/body/div[1]/main/section/header/select[2]/option[25]
76	$2,800	/html/body/div[1]/main/section/header/select[2]/option[26]
77	$2,900	/html/body/div[1]/main/section/header/select[2]/option[27]
78	$3,000	/html/body/div[1]/main/section/header/select[2]/option[28]
79	$3,100	/html/body/div[1]/main/section/header/select[2]/option[29]
80	$3,200	/html/body/div[1]/main/section/header/select[2]/option[30]
81	$3,300	/html/body/div[1]/main/section/header/select[2]/option[31]
82	$3,400	/html/body/div[1]/main/section/header/select[2]/option[32]
83	$3,500	/html/body/div[1]/main/section/header/select[2]/option[33]
84	$3,600	/html/body/div[1]/main/section/header/select[2]/option[34]
85	$3,700	/html/body/div[1]/main/section/header/select[2]/option[35]
86	$3,800	/html/body/div[1]/main/section/header/select[2]/option[36]
87	$3,900	/html/body/div[1]/main/section/header/select[2]/option[37]
