nodes,Labels,xpaths
Apartments for Rent in Chicago IL | Apartments.com,NE,/html/head/title
Menu,NE,/html/body/div[1]/header/nav/div[1]/button/span
Renter Tools,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[1]/a
Favorites,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[1]/ul/li[1]/a
Saved Searches,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[1]/ul/li[2]/a
Rental Manager Tools,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[2]/a
Apartments For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/a
Arlington Heights Apartments For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/ul/li[1]/a
Aurora Apartments For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/ul/li[2]/a
Chicago Apartments For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/ul/li[3]/a
Evanston Apartments For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/ul/li[4]/a
Forest Park Apartments For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/ul/li[5]/a
Naperville Apartments For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/ul/li[6]/a
Niles Apartments For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/ul/li[7]/a
Oak Park Apartments For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/ul/li[8]/a
Palatine Apartments For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/ul/li[9]/a
Park Ridge Apartments For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/ul/li[10]/a
River Forest Apartments For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/ul/li[11]/a
Schaumburg Apartments For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/ul/li[12]/a
Skokie Apartments For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/ul/li[13]/a
Homes For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[4]/a
Aurora Homes For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[4]/ul/li[1]/a
Chicago Homes For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[4]/ul/li[2]/a
Evanston Homes For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[4]/ul/li[3]/a
Far Northwest Suburban Cook Homes For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[4]/ul/li[4]/a
Gary Homes For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[4]/ul/li[5]/a
Hammond Homes For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[4]/ul/li[6]/a
Joliet Homes For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[4]/ul/li[7]/a
Lincoln Park Homes For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[4]/ul/li[8]/a
Logan Square Homes For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[4]/ul/li[9]/a
Naperville Homes For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[4]/ul/li[10]/a
Near North Side Homes For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[4]/ul/li[11]/a
Plainfield Homes For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[4]/ul/li[12]/a
Condos For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/a
Arlington Heights Condos For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/ul/li[1]/a
Chicago Condos For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/ul/li[2]/a
Elk Grove Village Condos For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/ul/li[3]/a
Evanston Condos For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/ul/li[4]/a
Highland Park Condos For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/ul/li[5]/a
Lakeview Condos For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/ul/li[6]/a
Lincoln Park Condos For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/ul/li[7]/a
Oak Park Condos For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/ul/li[8]/a
Schaumburg Condos For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/ul/li[9]/a
Skokie Condos For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/ul/li[10]/a
Townhomes For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[6]/a
Aurora Townhomes For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[6]/ul/li[1]/a
Chicago Townhomes For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[6]/ul/li[2]/a
Cook County Townhomes For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[6]/ul/li[3]/a
DuPage County Townhomes For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[6]/ul/li[4]/a
Far Northwest Suburban Cook Townhomes For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[6]/ul/li[5]/a
Kane County Townhomes For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[6]/ul/li[6]/a
Lake County Townhomes For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[6]/ul/li[7]/a
Will County Townhomes For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[6]/ul/li[8]/a
Help Center,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[7]/a
Mobile Apps,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[8]/a
Español,NE,/html/body/div[1]/header/nav/div[2]/a/span
Favorites,NE,/html/body/div[1]/header/nav/div[5]/div[1]/span[2]
New,NE,/html/body/div[1]/header/nav/div[5]/div[2]/span[2]
Alerts,NE,/html/body/div[1]/header/nav/div[5]/div[3]/span
Sign Up,NE,/html/body/div[1]/header/nav/div[6]/div/a[1]
Sign In,NE,/html/body/div[1]/header/nav/div[6]/div/a[2]
Add a Property,NE,/html/body/div[1]/header/nav/div[6]/a/span
Back to Search,NE,/html/body/div[1]/main/section/header/div/div[1]/a/span
Search input,NE,/html/body/div[1]/main/section/header/div/span[1]/label
Price,NE,/html/body/div[1]/main/section/header/div/span[2]/div/a/span[1]
minimum Rent Input,NE,/html/body/div[1]/main/section/header/div/span[2]/div/div/div/fieldset[1]/label
maximum Rent Input,NE,/html/body/div[1]/main/section/header/div/span[2]/div/div/div/fieldset[2]/label
No Min,NE,/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[1]/li[1]
"$1,000 ",NE,/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[1]/li[2]
"$1,100 ",NE,/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[1]/li[3]
"$1,300 ",NE,/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[1]/li[4]
"$1,500 ",NE,/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[1]/li[5]
"$1,800 ",NE,/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[1]/li[6]
"$2,000 ",NE,/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[1]/li[7]
"$1,400 ",NE,/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[2]/li[1]
"$1,600 ",NE,/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[2]/li[2]
"$1,800 ",NE,/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[2]/li[3]
"$2,200 ",NE,/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[2]/li[4]
"$2,900 ",NE,/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[2]/li[5]
"$3,000 ",NE,/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[2]/li[6]
No Max,NE,/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[2]/li[7]
Beds,NE,/html/body/div[1]/main/section/header/div/span[3]/div/a/span[1]
minimum beds select combobox,NE,/html/body/div[1]/main/section/header/div/span[3]/div/div/div/div/div[2]/label
No Min,NE,/html/body/div[1]/main/section/header/div/span[3]/div/div/div/div/div[2]/select/option[1]
1,NE,/html/body/div[1]/main/section/header/div/span[3]/div/div/div/div/div[2]/select/option[2]
2,NE,/html/body/div[1]/main/section/header/div/span[3]/div/div/div/div/div[2]/select/option[3]
3,NE,/html/body/div[1]/main/section/header/div/span[3]/div/div/div/div/div[2]/select/option[4]
4+,NE,/html/body/div[1]/main/section/header/div/span[3]/div/div/div/div/div[2]/select/option[5]
maximum beds select combobox,NE,/html/body/div[1]/main/section/header/div/span[3]/div/div/div/div/div[3]/label
No Max,NE,/html/body/div[1]/main/section/header/div/span[3]/div/div/div/div/div[3]/select/option[1]
Studio,NE,/html/body/div[1]/main/section/header/div/span[3]/div/div/div/div/div[3]/select/option[2]
1,NE,/html/body/div[1]/main/section/header/div/span[3]/div/div/div/div/div[3]/select/option[3]
2,NE,/html/body/div[1]/main/section/header/div/span[3]/div/div/div/div/div[3]/select/option[4]
3,NE,/html/body/div[1]/main/section/header/div/span[3]/div/div/div/div/div[3]/select/option[5]
No Min,NE,/html/body/div[1]/main/section/header/div/span[3]/div/div/ul[1]/li[1]
1 Bed,NE,/html/body/div[1]/main/section/header/div/span[3]/div/div/ul[1]/li[2]
2 Beds,NE,/html/body/div[1]/main/section/header/div/span[3]/div/div/ul[1]/li[3]
3 Beds,NE,/html/body/div[1]/main/section/header/div/span[3]/div/div/ul[1]/li[4]
4+ Beds,NE,/html/body/div[1]/main/section/header/div/span[3]/div/div/ul[1]/li[5]
No Max,NE,/html/body/div[1]/main/section/header/div/span[3]/div/div/ul[2]/li[1]
Studio,NE,/html/body/div[1]/main/section/header/div/span[3]/div/div/ul[2]/li[2]
1 Bed,NE,/html/body/div[1]/main/section/header/div/span[3]/div/div/ul[2]/li[3]
2 Beds,NE,/html/body/div[1]/main/section/header/div/span[3]/div/div/ul[2]/li[4]
3 Beds,NE,/html/body/div[1]/main/section/header/div/span[3]/div/div/ul[2]/li[5]
Type,NE,/html/body/div[1]/main/section/header/div/span[4]/div/a/span[1]
Apartments,NE,/html/body/div[1]/main/section/header/div/span[4]/div/div/div[1]/fieldset/label/span[1]
-21506,NE,/html/body/div[1]/main/section/header/div/span[4]/div/div/div[1]/fieldset/label/span[2]
Houses,NE,/html/body/div[1]/main/section/header/div/span[4]/div/div/div[2]/fieldset/label/span[1]
-368,NE,/html/body/div[1]/main/section/header/div/span[4]/div/div/div[2]/fieldset/label/span[2]
Condos,NE,/html/body/div[1]/main/section/header/div/span[4]/div/div/div[3]/fieldset/label/span[1]
-14821,NE,/html/body/div[1]/main/section/header/div/span[4]/div/div/div[3]/fieldset/label/span[2]
Townhomes,NE,/html/body/div[1]/main/section/header/div/span[4]/div/div/div[4]/fieldset/label/span[1]
-365,NE,/html/body/div[1]/main/section/header/div/span[4]/div/div/div[4]/fieldset/label/span[2]
Lifestyle,NE,/html/body/div[1]/main/section/header/div/span[5]/a/span[1]
Lifestyle,NE,/html/body/div[1]/main/section/header/div/span[5]/fieldset/legend
Student,NE,/html/body/div[1]/main/section/header/div/span[5]/fieldset/span/span[1]/a/label/span[1]
-23156,NE,/html/body/div[1]/main/section/header/div/span[5]/fieldset/span/span[1]/a/label/span[2]
Senior Housing,NE,/html/body/div[1]/main/section/header/div/span[5]/fieldset/span/span[2]/a/label/span[1]
-218,NE,/html/body/div[1]/main/section/header/div/span[5]/fieldset/span/span[2]/a/label/span[2]
Short Term,NE,/html/body/div[1]/main/section/header/div/span[5]/fieldset/span/span[3]/a/label/span[1]
-2379,NE,/html/body/div[1]/main/section/header/div/span[5]/fieldset/span/span[3]/a/label/span[2]
Military Housing,NE,/html/body/div[1]/main/section/header/div/span[5]/fieldset/span/span[4]/a/label/span[1]
-7,NE,/html/body/div[1]/main/section/header/div/span[5]/fieldset/span/span[4]/a/label/span[2]
Corporate Housing,NE,/html/body/div[1]/main/section/header/div/span[5]/fieldset/span/span[5]/a/label/span[1]
-176,NE,/html/body/div[1]/main/section/header/div/span[5]/fieldset/span/span[5]/a/label/span[2]
Move-In Date,NE,/html/body/div[1]/main/section/header/div/span[6]/span/div/a/span[1]
More,NE,/html/body/div[1]/main/section/header/div/span[7]/a/span[1]
Save,NE,/html/body/div[1]/main/section/header/div/div[2]/div[1]/div[1]/button/span
Sort,NE,/html/body/div[1]/main/section/header/div/div[2]/div[2]/button/span
Beds,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[1]/h2
minimum beds select combobox,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[1]/div/div/div/div/div[1]/label
No Min,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[1]/div/div/div/div/div[1]/select/option[1]
1,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[1]/div/div/div/div/div[1]/select/option[2]
2,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[1]/div/div/div/div/div[1]/select/option[3]
3,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[1]/div/div/div/div/div[1]/select/option[4]
4+,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[1]/div/div/div/div/div[1]/select/option[5]
maximum beds select combobox,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[1]/div/div/div/div/div[2]/label
