	nodes	xpaths
0	Apartments for Rent in Chicago IL | Apartments.com	/html/head/title
1	"bazadebezolkohpepadr=""560702792"""	/html/head/script[5]
2	Menu	/html/body/div[1]/header/nav/div[1]/button/span
3	Renter Tools	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[1]/a
4	Favorites	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[1]/ul/li[1]/a
5	Saved Searches	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[1]/ul/li[2]/a
6	Rental Calculator	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[1]/ul/li[3]/a
7	Manage Rentals	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[2]/a
8	Apartments For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/a
9	Arlington Heights Apartments For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/ul/li[1]/a
10	Aurora Apartments For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/ul/li[2]/a
11	Chicago Apartments For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/ul/li[3]/a
12	Downers Grove Apartments For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/ul/li[4]/a
13	Evanston Apartments For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/ul/li[5]/a
14	Forest Park Apartments For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/ul/li[6]/a
15	Joliet Apartments For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/ul/li[7]/a
16	Naperville Apartments For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/ul/li[8]/a
17	Oak Park Apartments For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/ul/li[9]/a
18	Palatine Apartments For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/ul/li[10]/a
19	River Forest Apartments For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/ul/li[11]/a
20	Skokie Apartments For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/ul/li[12]/a
21	Homes For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[4]/a
22	Aurora Homes For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[4]/ul/li[1]/a
23	Chicago Homes For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[4]/ul/li[2]/a
24	Evanston Homes For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[4]/ul/li[3]/a
25	Gary Homes For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[4]/ul/li[4]/a
26	Hammond Homes For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[4]/ul/li[5]/a
27	Joliet Homes For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[4]/ul/li[6]/a
28	Lakeview Homes For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[4]/ul/li[7]/a
29	Lincoln Park Homes For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[4]/ul/li[8]/a
30	Naperville Homes For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[4]/ul/li[9]/a
31	Plainfield Homes For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[4]/ul/li[10]/a
32	Skokie Homes For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[4]/ul/li[11]/a
33	Condos For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/a
34	Aurora Condos For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/ul/li[1]/a
35	Chicago Condos For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/ul/li[2]/a
36	Downers Grove Condos For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/ul/li[3]/a
37	Elk Grove Village Condos For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/ul/li[4]/a
38	Evanston Condos For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/ul/li[5]/a
39	Highland Park Condos For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/ul/li[6]/a
40	Naperville Condos For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/ul/li[7]/a
41	Oak Park Condos For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/ul/li[8]/a
42	Palatine Condos For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/ul/li[9]/a
43	Schaumburg Condos For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/ul/li[10]/a
44	Skokie Condos For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/ul/li[11]/a
45	Wheaton Condos For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/ul/li[12]/a
46	Townhomes For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[6]/a
47	Chicago Townhomes For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[6]/ul/li[1]/a
48	Cook County Townhomes For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[6]/ul/li[2]/a
49	Help Center	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[7]/a
50	Español	/html/body/div[1]/header/nav/div[2]/a/span
51	Favorites	/html/body/div[1]/header/nav/div[5]/div[1]/span[2]
52	New	/html/body/div[1]/header/nav/div[5]/div[2]/span[2]
53	Alerts	/html/body/div[1]/header/nav/div[5]/div[3]/span
54	Manage Rentals	/html/body/div[1]/header/nav/div[6]/div/a[1]
55	Sign Up	/html/body/div[1]/header/nav/div[6]/div/a[2]
56	Sign In	/html/body/div[1]/header/nav/div[6]/div/a[3]
57	Add a Property	/html/body/div[1]/header/nav/div[6]/a/span
58	Back to Search	/html/body/div[1]/main/section/header/div/div[1]/a/span
59	Search input	/html/body/div[1]/main/section/header/div/span[1]/label
60	Price	/html/body/div[1]/main/section/header/div/span[2]/div/a/span[1]
61	minimum Rent Input	/html/body/div[1]/main/section/header/div/span[2]/div/div/div/fieldset[1]/label
62	maximum Rent Input	/html/body/div[1]/main/section/header/div/span[2]/div/div/div/fieldset[2]/label
63	No Min	/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[1]/li[1]
64	$1,000	/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[1]/li[2]
65	$1,100	/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[1]/li[3]
66	$1,300	/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[1]/li[4]
67	$1,500	/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[1]/li[5]
68	$1,800	/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[1]/li[6]
69	$2,000	/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[1]/li[7]
70	$1,400	/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[2]/li[1]
71	$1,600	/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[2]/li[2]
72	$1,800	/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[2]/li[3]
73	$2,200	/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[2]/li[4]
74	$2,900	/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[2]/li[5]
75	$3,000	/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[2]/li[6]
76	No Max	/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[2]/li[7]
77	Beds	/html/body/div[1]/main/section/header/div/span[3]/div/a/span[1]
78	minimum beds select combobox	/html/body/div[1]/main/section/header/div/span[3]/div/div/div/div/div[2]/label
79	No Min	/html/body/div[1]/main/section/header/div/span[3]/div/div/div/div/div[2]/select/option[1]
80	1	/html/body/div[1]/main/section/header/div/span[3]/div/div/div/div/div[2]/select/option[2]
81	2	/html/body/div[1]/main/section/header/div/span[3]/div/div/div/div/div[2]/select/option[3]
82	3	/html/body/div[1]/main/section/header/div/span[3]/div/div/div/div/div[2]/select/option[4]
83	4+	/html/body/div[1]/main/section/header/div/span[3]/div/div/div/div/div[2]/select/option[5]
84	maximum beds select combobox	/html/body/div[1]/main/section/header/div/span[3]/div/div/div/div/div[3]/label
85	No Max	/html/body/div[1]/main/section/header/div/span[3]/div/div/div/div/div[3]/select/option[1]
86	Studio	/html/body/div[1]/main/section/header/div/span[3]/div/div/div/div/div[3]/select/option[2]
87	1	/html/body/div[1]/main/section/header/div/span[3]/div/div/div/div/div[3]/select/option[3]
88	2	/html/body/div[1]/main/section/header/div/span[3]/div/div/div/div/div[3]/select/option[4]
89	3	/html/body/div[1]/main/section/header/div/span[3]/div/div/div/div/div[3]/select/option[5]
90	No Min	/html/body/div[1]/main/section/header/div/span[3]/div/div/ul[1]/li[1]
91	1 Bed	/html/body/div[1]/main/section/header/div/span[3]/div/div/ul[1]/li[2]
92	2 Beds	/html/body/div[1]/main/section/header/div/span[3]/div/div/ul[1]/li[3]
93	3 Beds	/html/body/div[1]/main/section/header/div/span[3]/div/div/ul[1]/li[4]
94	4+ Beds	/html/body/div[1]/main/section/header/div/span[3]/div/div/ul[1]/li[5]
95	No Max	/html/body/div[1]/main/section/header/div/span[3]/div/div/ul[2]/li[1]
96	Studio	/html/body/div[1]/main/section/header/div/span[3]/div/div/ul[2]/li[2]
97	1 Bed	/html/body/div[1]/main/section/header/div/span[3]/div/div/ul[2]/li[3]
98	2 Beds	/html/body/div[1]/main/section/header/div/span[3]/div/div/ul[2]/li[4]
99	3 Beds	/html/body/div[1]/main/section/header/div/span[3]/div/div/ul[2]/li[5]
100	Type	/html/body/div[1]/main/section/header/div/span[4]/div/a/span[1]
101	Apartments	/html/body/div[1]/main/section/header/div/span[4]/div/div/div[1]/fieldset/label/span[1]
102	(18706)	/html/body/div[1]/main/section/header/div/span[4]/div/div/div[1]/fieldset/label/span[2]
103	Houses	/html/body/div[1]/main/section/header/div/span[4]/div/div/div[2]/fieldset/label/span[1]
104	(407)	/html/body/div[1]/main/section/header/div/span[4]/div/div/div[2]/fieldset/label/span[2]
105	Condos	/html/body/div[1]/main/section/header/div/span[4]/div/div/div[3]/fieldset/label/span[1]
106	(12380)	/html/body/div[1]/main/section/header/div/span[4]/div/div/div[3]/fieldset/label/span[2]
107	Townhomes	/html/body/div[1]/main/section/header/div/span[4]/div/div/div[4]/fieldset/label/span[1]
108	(325)	/html/body/div[1]/main/section/header/div/span[4]/div/div/div[4]/fieldset/label/span[2]
109	Lifestyle	/html/body/div[1]/main/section/header/div/span[5]/a/span[1]
110	Lifestyle	/html/body/div[1]/main/section/header/div/span[5]/fieldset/legend
111	Student	/html/body/div[1]/main/section/header/div/span[5]/fieldset/span/span[1]/a/label/span[1]
112	(20080)	/html/body/div[1]/main/section/header/div/span[5]/fieldset/span/span[1]/a/label/span[2]
113	Senior Housing	/html/body/div[1]/main/section/header/div/span[5]/fieldset/span/span[2]/a/label/span[1]
114	(159)	/html/body/div[1]/main/section/header/div/span[5]/fieldset/span/span[2]/a/label/span[2]
115	Short Term	/html/body/div[1]/main/section/header/div/span[5]/fieldset/span/span[3]/a/label/span[1]
116	(1681)	/html/body/div[1]/main/section/header/div/span[5]/fieldset/span/span[3]/a/label/span[2]
117	Military Housing	/html/body/div[1]/main/section/header/div/span[5]/fieldset/span/span[4]/a/label/span[1]
118	(0)	/html/body/div[1]/main/section/header/div/span[5]/fieldset/span/span[4]/a/label/span[2]
119	Corporate Housing	/html/body/div[1]/main/section/header/div/span[5]/fieldset/span/span[5]/a/label/span[1]
120	(210)	/html/body/div[1]/main/section/header/div/span[5]/fieldset/span/span[5]/a/label/span[2]
121	Move-In Date	/html/body/div[1]/main/section/header/div/span[6]/span/div/a/span[1]
122	More	/html/body/div[1]/main/section/header/div/span[7]/a/span[1]
123	Save	/html/body/div[1]/main/section/header/div/div[2]/div[1]/div[1]/button/span
124	Sort	/html/body/div[1]/main/section/header/div/div[2]/div[2]/button/span
125	Beds	/html/body/div[1]/main/section/section[1]/div[1]/div/section[1]/h2
126	minimum beds select combobox	/html/body/div[1]/main/section/section[1]/div[1]/div/section[1]/div/div/div/div/div[1]/label
127	No Min	/html/body/div[1]/main/section/section[1]/div[1]/div/section[1]/div/div/div/div/div[1]/select/option[1]
128	1	/html/body/div[1]/main/section/section[1]/div[1]/div/section[1]/div/div/div/div/div[1]/select/option[2]
129	2	/html/body/div[1]/main/section/section[1]/div[1]/div/section[1]/div/div/div/div/div[1]/select/option[3]
130	3	/html/body/div[1]/main/section/section[1]/div[1]/div/section[1]/div/div/div/div/div[1]/select/option[4]
131	4+	/html/body/div[1]/main/section/section[1]/div[1]/div/section[1]/div/div/div/div/div[1]/select/option[5]
132	maximum beds select combobox	/html/body/div[1]/main/section/section[1]/div[1]/div/section[1]/div/div/div/div/div[3]/label
133	No Max	/html/body/div[1]/main/section/section[1]/div[1]/div/section[1]/div/div/div/div/div[3]/select/option[1]
134	Studio	/html/body/div[1]/main/section/section[1]/div[1]/div/section[1]/div/div/div/div/div[3]/select/option[2]
135	1	/html/body/div[1]/main/section/section[1]/div[1]/div/section[1]/div/div/div/div/div[3]/select/option[3]
136	2	/html/body/div[1]/main/section/section[1]/div[1]/div/section[1]/div/div/div/div/div[3]/select/option[4]
137	3	/html/body/div[1]/main/section/section[1]/div[1]/div/section[1]/div/div/div/div/div[3]/select/option[5]
138	Type	/html/body/div[1]/main/section/section[1]/div[1]/div/div[1]/h2
139	Apartments	/html/body/div[1]/main/section/section[1]/div[1]/div/div[1]/div/ul/li[1]/fieldset/label/span[1]
140	(18706)	/html/body/div[1]/main/section/section[1]/div[1]/div/div[1]/div/ul/li[1]/fieldset/label/span[2]
141	Houses	/html/body/div[1]/main/section/section[1]/div[1]/div/div[1]/div/ul/li[2]/fieldset/label/span[1]
142	(407)	/html/body/div[1]/main/section/section[1]/div[1]/div/div[1]/div/ul/li[2]/fieldset/label/span[2]
143	Condos	/html/body/div[1]/main/section/section[1]/div[1]/div/div[1]/div/ul/li[3]/fieldset/label/span[1]
144	(12380)	/html/body/div[1]/main/section/section[1]/div[1]/div/div[1]/div/ul/li[3]/fieldset/label/span[2]
145	Townhomes	/html/body/div[1]/main/section/section[1]/div[1]/div/div[1]/div/ul/li[4]/fieldset/label/span[1]
146	(325)	/html/body/div[1]/main/section/section[1]/div[1]/div/div[1]/div/ul/li[4]/fieldset/label/span[2]
147	Lifestyle	/html/body/div[1]/main/section/section[1]/div[1]/div/div[2]/h2
148	Lifestyle select combobox	/html/body/div[1]/main/section/section[1]/div[1]/div/div[2]/div/div/div/div/label
149	None	/html/body/div[1]/main/section/section[1]/div[1]/div/div[2]/div/div/div/div/select/option[1]
150	Student (20080)	/html/body/div[1]/main/section/section[1]/div[1]/div/div[2]/div/div/div/div/select/option[2]
151	Senior Housing (159)	/html/body/div[1]/main/section/section[1]/div[1]/div/div[2]/div/div/div/div/select/option[3]
152	Short Term (1681)	/html/body/div[1]/main/section/section[1]/div[1]/div/div[2]/div/div/div/div/select/option[4]
153	Military Housing (0)	/html/body/div[1]/main/section/section[1]/div[1]/div/div[2]/div/div/div/div/select/option[5]
154	Corporate Housing (210)	/html/body/div[1]/main/section/section[1]/div[1]/div/div[2]/div/div/div/div/select/option[6]
155	Move-In Date	/html/body/div[1]/main/section/section[1]/div[1]/div/section[2]/h2
156	Universities Nearby	/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[1]/a/span/span[1]
157	Pricing Type	/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[2]/a/span/span[1]
158	Pricing Per-Person	/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[2]/div/fieldset[1]/label/span[1]
159	(323)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[2]/div/fieldset[1]/label/span[2]
160	Pricing Per-Room	/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[2]/div/fieldset[2]/label/span[1]
161	(0)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[2]/div/fieldset[2]/label/span[2]
162	Pricing Per-Unit	/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[2]/div/fieldset[3]/label/span[1]
163	(19523)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[2]/div/fieldset[3]/label/span[2]
164	Amenities	/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[3]/a/span/span[1]
165	Individual Locking Bedrooms	/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[3]/div/fieldset[1]/label/span[1]
166	(951)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[3]/div/fieldset[1]/label/span[2]
167	Private Bathroom	/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[3]/div/fieldset[2]/label/span[1]
168	(944)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[3]/div/fieldset[2]/label/span[2]
169	Roommate Matching	/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[3]/div/fieldset[3]/label/span[1]
170	(271)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[3]/div/fieldset[3]/label/span[2]
171	Shuttle to Campus	/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[3]/div/fieldset[4]/label/span[1]
172	(83)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[3]/div/fieldset[4]/label/span[2]
173	Study Lounge	/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[3]/div/fieldset[5]/label/span[1]
174	(774)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[3]/div/fieldset[5]/label/span[2]
175	Walk to Campus	/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[3]/div/fieldset[6]/label/span[1]
176	(423)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[3]/div/fieldset[6]/label/span[2]
177	Baths	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/h2[1]
178	Any	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[1]/ul/li[1]/fieldset/label/span[1]
179	(24237)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[1]/ul/li[1]/fieldset/label/span[2]
180	1+ Bathrooms	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[1]/ul/li[2]/fieldset/label/span[1]
181	(24225)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[1]/ul/li[2]/fieldset/label/span[2]
182	2+ Bathrooms	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[1]/ul/li[3]/fieldset/label/span[1]
183	(6472)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[1]/ul/li[3]/fieldset/label/span[2]
184	3+ Bathrooms	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[1]/ul/li[4]/fieldset/label/span[1]
185	(882)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[1]/ul/li[4]/fieldset/label/span[2]
186	Amenities	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/h2[2]
187	Air Conditioning	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[1]/fieldset/label/span[1]
188	(12921)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[1]/fieldset/label/span[2]
189	In Unit Washer & Dryer	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[2]/fieldset/label/span[1]
190	(10972)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[2]/fieldset/label/span[2]
191	Washer & Dryer Hookups	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[3]/fieldset/label/span[1]
192	(939)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[3]/fieldset/label/span[2]
193	Dishwasher	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[4]/fieldset/label/span[1]
194	(14527)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[4]/fieldset/label/span[2]
195	Wheelchair Access	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[5]/fieldset/label/span[1]
196	(3006)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[5]/fieldset/label/span[2]
197	Parking	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[6]/fieldset/label/span[1]
198	(13165)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[6]/fieldset/label/span[2]
199	Laundry Facilities	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[7]/fieldset/label/span[1]
200	(9885)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[7]/fieldset/label/span[2]
201	Fitness Center	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[8]/fieldset/label/span[1]
202	(9906)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[8]/fieldset/label/span[2]
203	Pool	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[9]/fieldset/label/span[1]
204	(5720)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[9]/fieldset/label/span[2]
205	Elevator	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[10]/fieldset/label/span[1]
