,Address,Price,Beds,Contact
0,123 N Des Plaines St Chicago  6,"$2,389 - $5,330",Studio - 3 Br,312-957-4484
1,161 W Kinzie St Chicago  6,"$1,875 - $6,337",Studio - 2 Br,844-892-1659
2,340 E North Water St Chicago  6,"$1,819 - $11,025",Studio - 3 Br,844-402-4750
3,555 W Madison St Chicago  6,"$1,350 - $3,985",Studio - 2 Br,888-692-0211
4,910 W Huron St Chicago  6,"$1,890 - $4,595",Studio - 4 Br,844-741-2982
5,71 W Hubbard St Chicago  6,"$1,795 - $6,495",Studio - 3 Br,312-219-9513
6,200 E Chestnut St Chicago  6,"$1,143 - $7,467",Studio - 2 Br,708-315-6519
7,5140 S Hyde Park Blvd Chicago  6,"$1,427 - $5,781",1-3 Br,773-432-4830
8,225 N Columbus Dr Chicago  6,"$1,630 - $3,682",Studio - 2 Br,866-933-3491
9,500 N Lake Shore Dr Chicago  6,"$1,745 - $3,990",Studio - 2 Br,312-548-6742
10,400 E South Water St Chicago  6,"$1,660 - $3,526",Studio - 2 Br,866-599-7868
11,850 S Clark St Chicago  6,"$1,771 - $3,571",Studio - 2 Br,312-462-1938
12,1350 N Lake Shore Dr Chicago  6,"$1,236 - $2,994",Studio - 2 Br,312-462-0403
13,850 N Lake Shore Dr Chicago  6,"$2,360 - $10,000",Studio - 3 Br,312-462-1903
14,1 W Superior St Chicago  6,"$1,441 - $3,534",Studio - 2 Br,312-219-9516
15,765 W Adams St Chicago  6,"$1,659 - $9,350",Studio - 3 Br,773-675-1174
16,400 N McClurg Ct Chicago  6,"$1,752 - $3,019",Studio - 2 Br,844-482-6861
17,840 W Blackhawk St Chicago  6,"$1,687 - $4,103",Studio - 2 Br,866-958-8596
18,1130 S Michigan Ave Chicago  6,"$1,538 - $3,443",Studio - 2 Br,866-610-8317
19,360 E South Water St Chicago  6,"$1,551 - $4,395",Studio - 2 Br,312-288-8069
20,220 W Illinois St Chicago  6,"$2,025 - $4,145",Studio - 2 Br,773-492-6656
