,Address,Price,Beds,Contact
0,"165 N Desplaines St, Chicago, IL ","$1,875 - 3,900",Studio - 2 Bed,312-964-3725
1,"215 W Lake St, Chicago, IL ","$2,035 - 5,585",Studio - 3 Bed,224-220-3563
2,"420 E Ohio St, Chicago, IL ","$1,740 - 4,430",Studio - 3 Bed,888-380-0393
3,"500 N Milwaukee Ave, Chicago, IL ","$1,705 - 5,490",Studio - 3 Bed,312-964-3768
4,"601 W Jackson Blvd, Chicago, IL ","$1,726 - 4,355",Studio - 2 Bed,844-443-8919
5,"200 E Illinois St, Chicago, IL ","$2,195 - 10,325",Studio - 3 Bed,773-273-6395
6,"2300 S Michigan Ave, Chicago, IL ","$1,590 - 2,830",1-2 Bed,312-646-4878
7,"765 W Adams St, Chicago, IL ","$1,810 - 7,825",Studio - 3 Bed,773-675-1174
8,"1209 W Arthur Ave, Chicago, IL ","$1,545 - 2,769",Studio - 2 Bed,773-649-4071
9,"555 W Madison St, Chicago, IL ","$1,375 - 3,280",Studio - 2 Bed,888-692-0211
10,"1350 N Wells St, Chicago, IL ","$1,565 - 3,520",Studio - 2 Bed,866-854-1757
11,"4334 N Hazel St, Chicago, IL ","$1,470 - 2,945",Studio - 2 Bed,888-769-6192
12,"2851 S Martin Luther King Dr, Chicago, IL ","$748 - 10,151",Studio - 3 Bed,844-827-1869
13,"1350 N Lake Shore Dr, Chicago, IL ","$1,533 - 3,290",Studio - 2 Bed,844-740-9960
14,"730 W Couch Pl, Chicago, IL ","$1,835 - 5,635",Studio - 3 Bed,844-294-8524
15,"167 W Erie St, Chicago, IL ","$1,830 - 5,916",Studio - 3 Bed,844-249-5467
16,"1333 S Wabash Ave, Chicago, IL ","$1,885 - 7,534",1-3 Bed,312-767-5990
17,"165 W Superior, Chicago, IL ","$1,828 - 7,196",Studio - 3 Bed,844-214-0691
18,"343 W Wolf Point Plz, Chicago, IL ","$1,925 - 9,915",Studio - 3 Bed,844-811-0188
19,"225 N Columbus Dr, Chicago, IL ","$1,934 - 5,263",Studio - 2 Bed,866-933-3491
20,"445 E Ohio St, Chicago, IL ","$1,450 - 2,597",Studio - 2 Bed,877-395-7096
21,"555 W Kinzie St, Chicago, IL ","$1,528 - 5,630",Studio - 3 Bed,312-288-8972
22,"345 E Wacker Dr, Chicago, IL ","$1,827 - 3,255",Studio - 3 Bed,773-904-9571
