,Address,Price,Beds,Contact
0,"840 W Blackhawk St, Chicago, IL ","$1,919 - 4,569",,866-958-8596
1,"200 E Illinois St, Chicago, IL ","$2,108 - 12,878",,773-273-6395
2,"500 N Milwaukee Ave, Chicago, IL ","$1,730 - 5,500",,312-964-3768
3,"1 W Superior St, Chicago, IL ","$1,556 - 5,220",,312-219-9516
4,"625 W Division St, Chicago, IL ","$1,925 - 3,625",,844-525-6919
5,"707 N Wells St, Chicago, IL ","$2,707 - 5,521",,844-312-7045
6,"601 W Jackson Blvd, Chicago, IL ","$1,305 - 4,541",,844-443-8919
7,"420 E Ohio St, Chicago, IL ","$1,615 - 4,600",,888-380-0393
8,"730 W Couch Pl, Chicago, IL ","$1,750 - 5,550",,844-294-8524
9,"343 W Wolf Point Plz, Chicago, IL ","$1,918 - 10,900",,844-811-0188
10,"400 E South Water St, Chicago, IL ","$1,948 - 4,142",,866-599-7868
11,"360 E South Water St, Chicago, IL ","$2,010 - 5,038",,312-288-8069
12,"225 N Columbus Dr, Chicago, IL ","$2,121 - 5,380",,866-933-3491
13,"345 E Wacker Dr, Chicago, IL ","$1,535 - 4,795",,773-904-9571
14,"555 W Kinzie St, Chicago, IL ","$1,553 - 5,735",,312-288-8972
15,"833 W Buena Ave, Chicago, IL ","$1,290 - 1,885",,888-236-7009
16,"123 N Des Plaines St, Chicago, IL ","$2,132 - 5,251",,312-957-4484
17,"5140 S Hyde Park Blvd, Chicago, IL ","$1,624 - 6,591",,773-432-4830
18,"500 N Lake Shore Dr, Chicago, IL ","$2,100 - 4,205",,312-548-6742
19,"25 W Randolph St, Chicago, IL ","$1,915 - 8,057",,844-808-9214
20,"347 W Chestnut St, Chicago, IL ","$1,725 - 6,500",,312-702-1232
21,"910 W Huron St, Chicago, IL ",Call for Rent,,844-741-2982
22,"11 S Green St, Chicago, IL ","$1,550 - 3,390",,844-417-3242
23,"161 W Kinzie St, Chicago, IL ","$1,695 - 7,000",,844-892-1659
