,Address,Price,Beds,Contact
0,840 W Blackhawk St Chicago  6,"$1,919 - 4,569",,866-958-8596
1,200 E Illinois St Chicago  6,"$2,418 - 12,878",,773-273-6395
2,500 N Milwaukee Ave Chicago  6,"$1,580 - 5,500",,312-964-3768
3,1 W Superior St Chicago  6,"$1,608 - 4,852",,312-219-9516
4,625 W Division St Chicago  6,"$1,875 - 3,625",,844-525-6919
5,707 N Wells St Chicago  6,"$2,707 - 5,796",,844-837-3913
6,601 W Jackson Blvd Chicago  6,"$1,305 - 4,747",,844-443-8919
7,420 E Ohio St Chicago  6,"$1,615 - 4,600",,888-380-0393
8,850 S Clark St Chicago  6,"$1,738 - 3,369",,312-462-1938
9,400 E South Water St Chicago  6,"$1,771 - 4,182",,866-599-7868
10,360 E South Water St Chicago  6,"$1,878 - 5,326",,312-288-8069
11,343 W Wolf Point Plz Chicago  6,"$1,908 - 10,900",,844-811-0188
12,225 N Columbus Dr Chicago  6,"$2,116 - 5,367",,866-933-3491
13,345 E Wacker Dr Chicago  6,"$1,878 - 3,557",,773-904-9571
14,730 W Couch Pl Chicago  6,"$1,750 - 5,150",,844-294-8524
15,555 W Kinzie St Chicago  6,"$1,614 - 4,313",,312-288-8972
16,123 N Des Plaines St Chicago  6,"$1,895 - 5,366",,312-957-4484
17,500 N Lake Shore Dr Chicago  6,"$2,275 - 4,375",,312-548-6742
18,5140 S Hyde Park Blvd Chicago  6,"$1,392 - 3,987",,773-432-4830
19,347 W Chestnut St Chicago  6,"$1,725 - 6,500",,312-702-1232
20,1890 Maple St Chicago  6,"$1,647 - 5,000",,224-420-9126
21,200 E Chestnut St Chicago  6,"$1,461 - 9,127",,708-315-6519
22,71 W Hubbard St Chicago  6,"$1,870 - 6,483",,312-219-9513
23,1209 W Arthur Ave Chicago  6,"$1,570 - 2,575",,773-649-4071
24,555 W Madison St Chicago  6,"$1,390 - 5,035",,888-692-0211
25,60638 About Us Chicago Ap,,,
