,Address,Price,Beds,Contact
0,601 W Jackson Blvd Chicago  6,"$1,306 - $4,749",Studio - 2 Br,844-443-8919
1,420 E Ohio St Chicago  6,"$1,615 - $4,600",Studio - 3 Br,888-380-0393
2,1 W Superior St Chicago  6,"$1,638 - $4,858",Studio - 2 Br,312-219-9516
3,840 W Blackhawk St Chicago  6,"$1,919 - $4,569",Studio - 2 Br,866-958-8596
4,200 E Illinois St Chicago  6,"$2,396 - $12,878",Studio - 3 Br,773-273-6395
5,500 N Milwaukee Ave Chicago  6,"$1,580 - $5,500",Studio - 3 Br,312-964-3768
6,625 W Division St Chicago  6,"$1,875 - $3,650",Studio - 2 Br,844-525-6919
7,707 N Wells St Chicago  6,"$2,707 - $5,521",1-3 Br,844-837-3913
8,1209 W Arthur Ave Chicago  6,"$1,380 - $2,575",Studio - 2 Br,773-649-4071
9,555 W Kinzie St Chicago  6,"$1,596 - $4,260",Studio - 3 Br,312-288-8972
10,343 W Wolf Point Plz Chicago  6,"$1,908 - $10,900",Studio - 3 Br,844-811-0188
11,400 E South Water St Chicago  6,"$1,771 - $4,117",Studio - 2 Br,866-599-7868
12,360 E South Water St Chicago  6,"$1,907 - $5,326",Studio - 2 Br,312-288-8069
13,225 N Columbus Dr Chicago  6,"$2,117 - $5,255",Studio - 2 Br,866-933-3491
14,345 E Wacker Dr Chicago  6,"$1,893 - $3,613",Studio - 3 Br,773-904-9571
15,730 W Couch Pl Chicago  6,"$1,750 - $5,150",Studio - 3 Br,844-294-8524
16,123 N Des Plaines St Chicago  6,"$1,993 - $5,839",Studio - 3 Br,312-957-4484
17,500 N Lake Shore Dr Chicago  6,"$1,880 - $4,380",Studio - 2 Br,312-548-6742
18,5140 S Hyde Park Blvd Chicago  6,"$1,415 - $3,927",1-3 Br,773-432-4830
19,1890 Maple St Chicago  6,"$1,648 - $5,000",Studio - 3 Br,224-420-9126
20,200 E Chestnut St Chicago  6,"$1,473 - $9,127",Studio - 2 Br,708-315-6519
21,347 W Chestnut St Chicago  6,"$1,725 - $6,500",Studio - 3 Br,312-702-1232
22,71 W Hubbard St Chicago  6,"$1,870 - $6,483",Studio - 3 Br,312-219-9513
23,850 S Clark St Chicago  6,"$1,738 - $3,352",Studio - 2 Br,312-462-1938
24,555 W Madison St Chicago  6,"$1,390 - $4,950",Studio - 2 Br,888-692-0211
25,60638 About Us Chicago Ap,,,
