,Address,Price,Beds,Contact
0,5140 S Hyde Park Blvd Chicago  6,"$1,399 - $5,294",1-3 Br,773-432-4830
1,200 E Chestnut St Chicago  6,"$1,294 - $7,591",Studio - 2 Br,708-315-6519
2,71 W Hubbard St Chicago  6,"$1,795 - $6,438",Studio - 3 Br,312-219-9513
3,850 S Clark St Chicago  6,"$1,392 - $3,196",Studio - 2 Br,312-462-1938
4,555 W Madison St Chicago  6,"$1,375 - $7,740",Studio - 2 Br,888-692-0211
5,8 W Chestnut St Chicago  6,"$1,629 - $2,699",1-2 Br,312-646-4941
6,1130 S Michigan Ave Chicago  6,"$1,437 - $3,665",Studio - 2 Br,866-610-8317
7,1350 N Lake Shore Dr Chicago  6,"$1,338 - $2,998",Studio - 2 Br,312-462-0403
8,25 W Randolph St Chicago  6,"$1,823 - $7,987",Studio - 3 Br,844-808-9214
9,910 W Huron St Chicago  6,"$2,005 - $4,525",Studio - 4 Br,844-741-2982
10,400 N McClurg Ct Chicago  6,"$1,725 - $2,924",Studio - 2 Br,844-482-6861
11,161 W Kinzie St Chicago  6,"$1,745 - $6,337",Studio - 2 Br,844-892-1659
12,601 W Jackson Blvd Chicago  6,"$1,740 - $4,098",Studio - 2 Br,844-443-8919
13,840 W Blackhawk St Chicago  6,"$1,842 - $4,080",Studio - 2 Br,866-958-8596
14,220 W Illinois St Chicago  6,"$2,075 - $4,145",Studio - 2 Br,773-492-6656
15,200 E Illinois St Chicago  6,"$2,053 - $12,878",Studio - 4 Br,773-273-6395
16,625 W Division St Chicago  6,"$1,775 - $3,700",Studio - 2 Br,844-525-6919
17,707 N Wells St Chicago  6,"$2,740 - $5,621",1-3 Br,844-837-3913
18,1 W Superior St Chicago  6,"$1,585 - $4,946",Studio - 2 Br,312-219-9516
19,400 E South Water St Chicago  6,"$1,736 - $2,616",Studio - 2 Br,866-599-7868
20,360 E South Water St Chicago  6,"$1,880 - $5,102",Studio - 2 Br,312-288-8069
