,Address,Price,Beds,Contact
0,850 N Lake Shore Dr Chicago  6,"$2,360 - $10,000",Studio - 3 Br,312-462-1903
1,161 W Kinzie St Chicago  6,"$1,815 - $6,337",Studio - 2 Br,844-892-1659
2,11 S Green St Chicago  6,"$1,640 - $3,865",Studio - 2 Br,844-417-3242
3,345 E Wacker Dr Chicago  6,"$1,724 - $3,559",Studio - 3 Br,773-904-9571
4,200 E Illinois St Chicago  6,"$2,061 - $12,878",Studio - 4 Br,773-273-6395
5,123 N Des Plaines St Chicago  6,"$2,079 - $5,424",Studio - 3 Br,312-957-4484
6,500 N Lake Shore Dr Chicago  6,"$1,470 - $3,995",Studio - 2 Br,312-548-6742
7,360 E South Water St Chicago  6,"$1,624 - $4,395",Studio - 2 Br,312-288-8069
8,1 W Superior St Chicago  6,"$1,561 - $3,509",Studio - 2 Br,312-219-9516
9,1130 S Michigan Ave Chicago  6,"$1,538 - $3,443",Studio - 2 Br,866-610-8317
10,840 W Blackhawk St Chicago  6,"$1,687 - $3,931",Studio - 2 Br,866-958-8596
11,37 W Van Buren St Chicago  6,"$924 - $2,145",Studio - 4 Br,844-250-5735
12,5140 S Hyde Park Blvd Chicago  6,"$1,427 - $5,781",1-3 Br,773-432-4830
13,910 W Huron St Chicago  6,"$1,870 - $4,525",Studio - 4 Br,844-741-2982
14,1350 N Lake Shore Dr Chicago  6,"$1,236 - $2,994",Studio - 2 Br,312-462-0403
15,765 W Adams St Chicago  6,"$1,659 - $9,350",Studio - 3 Br,773-675-1174
16,71 W Hubbard St Chicago  6,"$1,795 - $6,495",Studio - 3 Br,312-219-9513
17,400 N McClurg Ct Chicago  6,"$1,726 - $3,093",Studio - 2 Br,844-482-6861
18,220 W Illinois St Chicago  6,"$2,025 - $4,145",Studio - 2 Br,773-492-6656
19,60638 About Us Chicago Ap,,,
