,Address,Price,Beds,Contact
0,"930 W Altgeld St, Chicago, IL ","$2,260 - 14,520",Studio - 3 Beds,(847) 440-3110
1,"1457 N Halsted St, Chicago, IL ","$2,341 - 5,308",Studio - 2 Beds,(844) 295-8794
2,"1407 S Michigan Ave, Chicago, IL ","$1,675 - 5,400",Studio - 3 Beds,(844) 207-9781
3,"5035 S East End Ave, Chicago, IL ","$1,650 - 4,456",Studio - 4 Beds,(224) 203-2815
4,"5441 NE NEast River Rd, Chicago, IL ","$1,205 - 3,205",Studio - 4 Beds,(866) 794-5357
5,"840 W Blackhawk St, Chicago, IL ","$2,010 - 3,671",Studio - 2 Beds,(866) 958-8596
6,"120 N Green St, Chicago, IL ","$2,270 - 10,331",Studio - 3 Beds,(708) 316-9691
7,"545 N McClurg Ct, Chicago, IL ","$2,395 - 8,705",Studio - 3 Beds,(833) 594-3751
8,"2 W Delaware Pl, Chicago, IL ","$3,850 - 11,135",1-5 Beds,(708) 725-0805
9,"165 W Superior St, Chicago, IL ","$2,095 - 5,116",Studio - 2 Beds,(708) 401-9108
10,"730 W Couch Pl, Chicago, IL ","$2,388 - 8,312",Studio - 3 Beds,(708) 637-0223
11,"2345 N Lincoln Ave, Chicago, IL ","$2,625 - 8,495",Studio - 3 Beds,(224) 998-0053
12,"504 N Green St, Chicago, IL ","$1,963 - 8,085",Studio - 3 Beds,(708) 853-6207
13,"465 N Park Dr, Chicago, IL ","$2,323 - 22,026",Studio - 3 Beds,(708) 725-1453
14,"205 S Peoria, Chicago, IL ","$2,242 - 6,419",Studio - 2 Beds,(312) 598-1505
15,"14 W Superior St, Chicago, IL ","$2,299 - 11,935",Studio - 3 Beds,(312) 585-7552
16,"8 E Huron St, Chicago, IL ","$4,600 - 13,995",1-3 Beds,(708) 393-2727
17,"1210 N State Pky, Chicago, IL ","$2,170 - 6,569",Studio - 2 Beds,(708) 683-3938
18,"747 N Wabash Ave, Chicago, IL ","$2,125 - 4,587",Studio - 2 Beds,(872) 401-5441
19,"833 N Clark St, Chicago, IL ","$2,097 - 17,000",Studio - 3 Beds,(844) 489-9630
20,"808 W Van Buren St, Chicago, IL ","$2,395 - 3,690",1-2 Beds,(844) 694-6517
21,"165 N Desplaines St, Chicago, IL ","$2,139 - 3,930",Studio - 2 Beds,(312) 964-3725
22,"808 N Wells St, Chicago, IL ","$1,888 - 4,322",Studio - 2 Beds,(844) 258-0468
23,"121 W Chestnut St, Chicago, IL ","$2,036 - 10,380",Studio - 3 Beds,(312) 462-0329
24,"340 E North Water St, Chicago, IL ","$2,199 - 9,246",Studio - 3 Beds,(844) 402-4750
