,Address,Price,Beds,Contact
0,"808 W Van Buren St, Chicago, IL ","$1,945 - 3,600",Studio - 2 Bed,844-694-6517
1,"169 W Huron St, Chicago, IL ","$1,835 - 5,577",Studio - 2 Bed,847-979-4467
2,"215 W Lake St, Chicago, IL ","$2,055 - 5,585",Studio - 3 Bed,224-220-3563
3,"420 E Ohio St, Chicago, IL ","$1,740 - 4,320",Studio - 3 Bed,888-380-0393
4,"500 N Milwaukee Ave, Chicago, IL ","$1,730 - 4,841",Studio - 3 Bed,312-964-3768
5,"200 N Michigan Ave, Chicago, IL ","$2,076 - 5,416",Studio - 2 Bed,844-655-0458
6,"306 Jefferson St, Chicago, IL ","$1,636 - 5,404",Studio - 2 Bed,844-443-8919
7,"200 E Illinois St, Chicago, IL ","$2,080 - 10,325",Studio - 3 Bed,773-273-6395
8,"555 W Madison St, Chicago, IL ","$1,430 - 3,535",Studio - 2 Bed,888-692-0211
9,"175 N Harbor Dr, Chicago, IL ","$1,678 - 5,176",Studio - 3 Bed,888-767-6014
10,"1350 N Wells St, Chicago, IL ","$1,635 - 3,030",Studio - 2 Bed,866-854-1757
11,"4334 N Hazel St, Chicago, IL ","$1,460 - 2,795",Studio - 2 Bed,888-769-6192
12,"320 W Illinois St, Chicago, IL ","$1,465 - 3,500",Studio - 2 Bed,844-402-3801
13,"2851 S Martin Luther King Dr, Chicago, IL ","$851 - 8,302",Studio - 3 Bed,844-827-1869
14,"1350 N Lake Shore Dr, Chicago, IL ","$1,304 - 10,264",Studio - 2 Bed,844-740-9960
15,"730 W Couch Pl, Chicago, IL ","$1,662 - 14,595",Studio - 3 Bed,844-294-8524
16,"167 W Erie St, Chicago, IL ","$1,930 - 5,595",Studio - 3 Bed,844-249-5467
17,"165 W Superior, Chicago, IL ","$1,733 - 5,088",Studio - 3 Bed,844-214-0691
18,"1333 S Wabash Ave, Chicago, IL ","$1,965 - 7,562",1-3 Bed,312-767-5990
19,"343 W Wolf Point Plz, Chicago, IL ","$1,664 - 10,850",Studio - 3 Bed,844-811-0188
20,"225 N Columbus Dr, Chicago, IL ","$1,591 - 6,084",Studio - 2 Bed,866-933-3491
21,"1 E Delaware Pl, Chicago, IL ","$1,620 - 3,776",Studio - 2 Bed,855-707-4966
