,Address,Price,Beds,Contact
0,"343 S Dearborn St, Chicago, IL ","$1,570 - 3,670",Studio - 2 Bed,844-223-8118
1,"850 N Lake Shore Dr, Chicago, IL ","$1,939 - 16,876",Studio - 3 Bed,312-462-1903
2,"2933 N Sheridan Rd, Chicago, IL ","$1,730 - 2,725",1-3 Bed,888-463-3217
3,"1935 S Wabash Ave, Chicago, IL ","$1,588 - 3,340",1-3 Bed,855-248-5919
4,"2851 S Martin Luther King Dr, Chicago, IL ","$970 - 8,595",Studio - 3 Bed,844-827-1869
5,"555 W Kinzie St, Chicago, IL ","$1,635 - 3,694",Studio - 3 Bed,312-288-8972
6,"1936 N Clark St, Chicago, IL ","$1,095 - 3,000",Studio - 2 Bed,312-546-4883
7,"167 W Erie St, Chicago, IL ","$1,913 - 5,595",Studio - 3 Bed,844-249-5467
8,"24 S Morgan St, Chicago, IL ","$2,070 - 6,545",1-3 Bed,312-283-3511
9,"833 N Clark St, Chicago, IL ","$1,810 - 15,395",Studio - 3 Bed,844-489-9630
10,"601 W Jackson Blvd, Chicago, IL ","$1,813 - 4,929",Studio - 2 Bed,844-443-8919
11,"65 E Scott St, Chicago, IL ","$1,400 - 2,500",Studio - 2 Bed,312-638-2436
12,"860 N Dewitt Pl, Chicago, IL ","$1,560 - 4,205",Studio - 2 Bed,844-772-4370
13,"200 E Illinois St, Chicago, IL ","$2,025 - 10,325",Studio - 3 Bed,773-273-6395
14,"2300 S Michigan Ave, Chicago, IL ","$1,520 - 2,705",1-2 Bed,312-646-4878
15,"420 E Ohio St, Chicago, IL ","$1,690 - 4,425",Studio - 3 Bed,888-380-0393
16,"1340 N Astor St, Chicago, IL ","$1,850 - 2,800",Studio - 2 Bed,866-359-3415
17,"5140 S Hyde Park Blvd, Chicago, IL ","$1,820 - 3,467",1-3 Bed,773-432-4830
18,"71 W Hubbard St, Chicago, IL ","$1,878 - 7,116",Studio - 3 Bed,312-219-9513
19,"765 W Adams St, Chicago, IL ","$1,886 - 7,825",Studio - 3 Bed,773-675-1174
20,"5105 S Harper Ave, Chicago, IL ","$2,110 - 5,531",1-3 Bed,773-313-3660
21,"833 W Buena Ave, Chicago, IL ","$1,315 - 1,905",1-3 Bed,844-812-0763
