,Address,Price,Beds,Contact
0,5454 S Shore Dr Chicago  6,"$1,339 - $4,500",1-3 Br,844-815-4511
1,5105 S Harper Ave Chicago  6,"$1,803 - $4,655",1-3 Br,844-867-6288
2,1606 E Hyde Park Blvd Chicago  6,"$1,174 - $2,360",Studio - 2 Br,844-761-9442
3,1 W Superior St Chicago  6,"$1,683 - $5,148",Studio - 2 Br,312-219-9516
4,840 W Blackhawk St Chicago  6,"$1,919 - $4,569",Studio - 2 Br,866-958-8596
5,200 E Illinois St Chicago  6,"$1,938 - $12,878",Studio - 3 Br,773-273-6395
6,500 N Milwaukee Ave Chicago  6,"$1,580 - $5,500",Studio - 3 Br,312-964-3768
7,707 N Wells St Chicago  6,"$2,707 - $5,796",1-3 Br,844-312-7045
8,625 W Division St Chicago  6,"$1,925 - $3,625",Studio - 2 Br,844-525-6919
9,601 W Jackson Blvd Chicago  6,"$1,305 - $4,525",Studio - 2 Br,844-443-8919
10,420 E Ohio St Chicago  6,"$1,615 - $4,600",Studio - 3 Br,888-380-0393
11,343 W Wolf Point Plz Chicago  6,"$1,908 - $10,900",Studio - 3 Br,844-811-0188
12,400 E South Water St Chicago  6,"$1,691 - $4,110",Studio - 2 Br,866-599-7868
13,360 E South Water St Chicago  6,"$1,617 - $5,248",Studio - 2 Br,312-288-8069
14,225 N Columbus Dr Chicago  6,"$2,073 - $5,577",Studio - 2 Br,866-933-3491
15,345 E Wacker Dr Chicago  6,"$1,723 - $4,950",Studio - 3 Br,773-904-9571
16,555 W Kinzie St Chicago  6,"$1,629 - $5,735",Studio - 3 Br,312-288-8972
17,730 W Couch Pl Chicago  6,"$1,750 - $5,150",Studio - 3 Br,844-294-8524
18,500 N Lake Shore Dr Chicago  6,"$1,875 - $4,590",Studio - 2 Br,312-548-6742
19,5140 S Hyde Park Blvd Chicago  6,"$1,542 - $6,386",1-3 Br,773-432-4830
20,1890 Maple St Chicago  6,"$1,639 - $5,468",Studio - 3 Br,224-420-9126
21,200 E Chestnut St Chicago  6,"$1,535 - $3,582",Studio - 2 Br,708-315-6519
22,71 W Hubbard St Chicago  6,"$1,870 - $6,535",Studio - 3 Br,312-219-9513
23,60638 About Us Chicago Ap,,,
