,Address,Price,Beds,Contact
0,5454 S Shore Dr Chicago  6,"$1,655 - $3,775",1-3 Br,844-815-4511
1,1 W Superior St Chicago  6,"$1,658 - $3,637",Studio - 2 Br,312-219-9516
2,840 W Blackhawk St Chicago  6,"$1,873 - $4,306",Studio - 2 Br,866-958-8596
3,200 E Illinois St Chicago  6,"$2,186 - $12,878",Studio - 3 Br,773-273-6395
4,625 W Division St Chicago  6,"$1,850 - $3,650",Studio - 2 Br,844-525-6919
5,707 N Wells St Chicago  6,"$2,707 - $5,521",1-3 Br,844-837-3913
6,601 W Jackson Blvd Chicago  6,"$1,620 - $4,730",Studio - 2 Br,844-443-8919
7,420 E Ohio St Chicago  6,"$1,575 - $4,160",Studio - 3 Br,888-380-0393
8,500 N Milwaukee Ave Chicago  6,Call for Rent,Studio - 3 Br,312-964-3768
9,343 W Wolf Point Plz Chicago  6,"$1,908 - $10,900",Studio - 3 Br,844-811-0188
10,345 E Wacker Dr Chicago  6,"$1,726 - $3,483",Studio - 3 Br,773-904-9571
11,400 E South Water St Chicago  6,"$1,758 - $4,620",Studio - 2 Br,866-599-7868
12,360 E South Water St Chicago  6,"$1,616 - $4,698",Studio - 2 Br,312-288-8069
13,225 N Columbus Dr Chicago  6,"$2,002 - $5,255",Studio - 2 Br,866-933-3491
14,730 W Couch Pl Chicago  6,"$1,750 - $5,000",Studio - 3 Br,844-294-8524
15,555 W Kinzie St Chicago  6,"$1,391 - $4,517",Studio - 3 Br,312-288-8972
16,123 N Des Plaines St Chicago  6,"$1,915 - $4,806",Studio - 3 Br,312-957-4484
17,500 N Lake Shore Dr Chicago  6,"$1,925 - $2,725",Studio - 1 Br,312-548-6742
18,5140 S Hyde Park Blvd Chicago  6,"$1,492 - $4,037",1-3 Br,773-432-4830
19,200 E Chestnut St Chicago  6,"$1,332 - $8,035",Studio - 2 Br,708-315-6519
20,71 W Hubbard St Chicago  6,"$1,865 - $6,483",Studio - 3 Br,312-219-9513
21,850 S Clark St Chicago  6,"$1,751 - $3,410",Studio - 2 Br,312-462-1938
