,Address,Price,Beds,Contact
0,840 W Blackhawk St Chicago  6,"$2,081 - $3,935",Studio - 2 Br,866-958-8596
1,220 W Illinois St Chicago  6,"$2,075 - $4,145",Studio - 2 Br,773-492-6656
2,200 E Illinois St Chicago  6,"$2,049 - $12,878",Studio - 4 Br,773-273-6395
3,625 W Division St Chicago  6,"$1,775 - $3,700",Studio - 2 Br,844-525-6919
4,707 N Wells St Chicago  6,"$2,740 - $5,521",1-3 Br,844-837-3913
5,1 W Superior St Chicago  6,"$1,625 - $4,946",Studio - 2 Br,312-219-9516
6,601 W Jackson Blvd Chicago  6,"$1,503 - $4,594",Studio - 2 Br,844-443-8919
7,11 S Green St Chicago  6,"$1,584 - $3,425",Studio - 2 Br,844-417-3242
8,360 E South Water St Chicago  6,"$1,660 - $4,982",Studio - 2 Br,312-288-8069
9,343 W Wolf Point Plz Chicago  6,"$1,761 - $10,617",Studio - 3 Br,844-811-0188
10,400 E South Water St Chicago  6,"$1,736 - $2,523",Studio - 2 Br,866-599-7868
11,225 N Columbus Dr Chicago  6,"$1,611 - $5,462",Studio - 2 Br,866-933-3491
12,345 E Wacker Dr Chicago  6,"$1,752 - $3,677",Studio - 3 Br,773-904-9571
13,123 N Des Plaines St Chicago  6,"$1,940 - $4,200",Studio - 3 Br,312-957-4484
14,500 N Lake Shore Dr Chicago  6,"$1,900 - $4,190",Studio - 2 Br,312-548-6742
15,5140 S Hyde Park Blvd Chicago  6,"$1,498 - $5,294",1-3 Br,773-432-4830
16,200 E Chestnut St Chicago  6,"$1,277 - $7,591",Studio - 2 Br,708-315-6519
17,555 W Madison St Chicago  6,"$1,335 - $8,030",Studio - 2 Br,888-692-0211
18,71 W Hubbard St Chicago  6,"$1,795 - $6,382",Studio - 3 Br,312-219-9513
19,850 S Clark St Chicago  6,"$1,780 - $3,600",Studio - 2 Br,312-462-1938
20,8 W Chestnut St Chicago  6,"$1,419 - $2,679",1-2 Br,312-646-4941
21,1350 N Lake Shore Dr Chicago  6,"$1,236 - $2,994",Studio - 2 Br,312-462-0403
