,Address,Price,Beds,Contact
0,400 N McClurg Ct Chicago  6,"$1,854 - $2,926",Studio - 2 Br,844-482-6861
1,1130 S Michigan Ave Chicago  6,"$1,478 - $3,652",Studio - 2 Br,866-610-8317
2,850 S Clark St Chicago  6,"$1,765 - $3,525",Studio - 2 Br,312-462-1938
3,37 W Van Buren St Chicago  6,"$1,819 - $11,025",Studio - 4 Br,844-250-5735
4,340 E North Water St Chicago  6,"$1,819 - $11,025",Studio - 3 Br,844-402-4750
5,200 E Illinois St Chicago  6,"$2,191 - $12,878",Studio - 4 Br,773-273-6395
6,1 W Superior St Chicago  6,"$1,543 - $4,942",Studio - 2 Br,312-219-9516
7,123 N Des Plaines St Chicago  6,"$2,389 - $5,377",Studio - 3 Br,312-957-4484
8,400 E South Water St Chicago  6,"$1,660 - $4,130",Studio - 2 Br,866-599-7868
9,200 E Chestnut St Chicago  6,"$1,205 - $7,177",Studio - 2 Br,708-315-6519
10,11 S Green St Chicago  6,Call for Rent,Studio - 2 Br,844-417-3242
11,5140 S Hyde Park Blvd Chicago  6,"$1,378 - $5,781",1-3 Br,773-432-4830
12,910 W Huron St Chicago  6,"$1,955 - $3,470",Studio - 4 Br,844-741-2982
13,840 W Blackhawk St Chicago  6,"$1,687 - $4,073",Studio - 2 Br,866-958-8596
14,500 N Lake Shore Dr Chicago  6,"$1,755 - $3,930",Studio - 2 Br,312-548-6742
15,1350 N Lake Shore Dr Chicago  6,"$1,279 - $2,994",Studio - 2 Br,312-462-0403
16,161 W Kinzie St Chicago  6,"$1,880 - $6,337",Studio - 2 Br,844-892-1659
17,220 W Illinois St Chicago  6,"$2,025 - $4,145",Studio - 2 Br,773-492-6656
18,71 W Hubbard St Chicago  6,"$1,791 - $6,495",Studio - 3 Br,312-219-9513
19,555 W Madison St Chicago  6,"$1,350 - $3,985",Studio - 2 Br,888-692-0211
20,345 E Wacker Dr Chicago  6,"$1,648 - $4,688",Studio - 3 Br,773-904-9571
21,60638 About Us Chicago Ap,,,
