,Address,Price,Beds,Contact
0,"500 N Milwaukee Ave, Chicago, IL ","$1,800 - 6,306",,312-964-3768
1,"840 W Blackhawk St, Chicago, IL ","$1,517 - 6,384",,866-958-8596
2,"200 E Illinois St, Chicago, IL ","$2,073 - 12,878",,773-273-6395
3,"420 E Ohio St, Chicago, IL ","$1,555 - 4,600",,888-380-0393
4,"625 W Division St, Chicago, IL ","$1,675 - 4,892",,844-525-6919
5,"707 N Wells St, Chicago, IL ","$2,591 - 5,332",,844-312-7045
6,"347 W Chestnut St, Chicago, IL ","$1,775 - 6,500",,312-702-1232
7,"340 E North Water St, Chicago, IL ","$2,488 - 8,996",,844-402-4750
8,"11 S Green St, Chicago, IL ","$1,692 - 3,461",,844-417-3242
9,"365 N Halsted St, Chicago, IL ","$1,665 - 6,500",,844-368-4250
10,"765 W Adams St, Chicago, IL ","$1,665 - 6,250",,773-675-1174
11,"161 W Kinzie St, Chicago, IL ","$1,810 - 3,610",,844-892-1659
12,"910 W Huron St, Chicago, IL ","$1,880 - 3,125",,844-741-2982
13,"400 N McClurg Ct, Chicago, IL ","$1,523 - 2,914",,844-482-6861
14,"1225 N Wells St, Chicago, IL ","$1,418 - 6,254",,844-841-6325
15,"1890 Maple St, Chicago, IL ","$1,616 - 6,033",,224-420-9126
16,"1 W Superior St, Chicago, IL ","$1,347 - 3,838",,312-219-9516
17,"71 W Hubbard St, Chicago, IL ","$1,855 - 6,327",,312-219-9513
18,"8 W Chestnut St, Chicago, IL ","$1,419 - 2,699",,312-646-4941
19,"850 S Clark St, Chicago, IL ","$1,625 - 3,346",,312-462-1938
20,"555 W Madison St, Chicago, IL ","$1,424 - 3,414",,888-692-0211
21,"545 N McClurg Ct, Chicago, IL ","$1,912 - 8,805",,844-382-0901
22,"1350 N Lake Shore Dr, Chicago, IL ","$1,271 - 4,704",,312-462-0403
23,"1130 S Michigan Ave, Chicago, IL ","$1,522 - 5,229",,866-610-8317
